# Run number : 19
# Parameter set number : 1
# Cost function : 0.0198225829
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      7.3306e-01      3.9655e-01      1.0000e+00      7.4068e-01      6.8802e-01      5.3651e-01
# Distance     Computed     Reference
  2.50000      2.86009296   2.87300000  
  2.75000      2.61791677   2.62600000  
  3.00000      2.36037284   2.35000000  
  3.25000      2.11163368   2.08300000  
  3.50000      1.88223160   1.84000000  
  3.75000      1.67580513   1.62400000  
  4.00000      1.49254247   1.43600000  
  4.25000      1.33103986   1.27200000  
  4.50000      1.18921794   1.13000000  
  4.75000      1.06487817   1.00700000  
  5.00000      0.95583717   0.90000000  
  5.25000      0.86012313   0.80700000  
  5.50000      0.77598281   0.72600000  
  5.75000      0.70185232   0.65500000  
  6.00000      0.63640095   0.59200000  
  6.25000      0.57847332   0.53700000  
  6.50000      0.52707183   0.48800000  
  6.75000      0.48136136   0.44500000  
  7.00000      0.44059152   0.40700000  
  7.25000      0.40414868   0.37300000  
  7.50000      0.37149166   0.34200000  
  7.75000      0.34215412   0.31500000  
  8.00000      0.31574682   0.29100000  
  8.25000      0.29192146   0.26800000  
  8.50000      0.27036303   0.24800000  
  8.75000      0.25083486   0.23000000  
  9.00000      0.23309909   0.21400000  
  9.25000      0.21695759   0.19900000  
  9.50000      0.20224733   0.18500000  
  9.75000      0.18880465   0.17300000  
  10.00000     0.17651035   0.16200000  
