# Run number : 20
# Parameter set number : 1
# Cost function : 0.0221382078
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      7.8316e-02      4.0939e-01      4.6395e-01      9.3775e-01      2.9679e-02      5.3833e-01
# Distance     Computed     Reference
  2.50000      -14.44200972 -15.27700000
  2.75000      -11.55841983 -11.67100000
  3.00000      -9.41154720  -9.16100000 
  3.25000      -7.77653762  -7.36400000 
  3.50000      -6.50703415  -6.03900000 
  3.75000      -5.50478872  -5.03400000 
  4.00000      -4.70194511  -4.25500000 
  4.25000      -4.05057850  -3.63700000 
  4.50000      -3.51610157  -3.14000000 
  4.75000      -3.07307129  -2.73300000 
  5.00000      -2.70249774  -2.39600000 
  5.25000      -2.38998565  -2.11500000 
  5.50000      -2.12446740  -1.87700000 
  5.75000      -1.89732582  -1.67500000 
  6.00000      -1.70180743  -1.50200000 
  6.25000      -1.53254673  -1.35200000 
  6.50000      -1.38522140  -1.22200000 
  6.75000      -1.25637638  -1.10800000 
  7.00000      -1.14316968  -1.00900000 
  7.25000      -1.04327709  -0.92100000 
  7.50000      -0.95478873  -0.84300000 
  7.75000      -0.87611268  -0.77400000 
  8.00000      -0.80591120  -0.71200000 
  8.25000      -0.74306281  -0.65700000 
  8.50000      -0.68662192  -0.60800000 
  8.75000      -0.63579842  -0.56300000 
  9.00000      -0.58990328  -0.52300000 
  9.25000      -0.54833980  -0.48600000 
  9.50000      -0.51061885  -0.45300000 
  9.75000      -0.47629742  -0.42300000 
  10.00000     -0.44499391  -0.39500000 
