# Run number : 5
# Parameter set number : 1
# Cost function : 0.0148602076
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      4.9901e-02      3.7625e-01      1.6615e-01      4.4569e-01      1.0695e-02      5.7298e-01
# Distance     Computed     Reference
  2.50000      -8.44516487  -10.56000000
  2.75000      -6.38086399  -7.73900000 
  3.00000      -4.91193065  -5.78600000 
  3.25000      -3.84206626  -4.41300000 
  3.50000      -3.04714145  -3.42700000 
  3.75000      -2.44624770  -2.70400000 
  4.00000      -1.98513509  -2.16300000 
  4.25000      -1.62661156  -1.75100000 
  4.50000      -1.34451409  -1.43300000 
  4.75000      -1.12024432  -1.18400000 
  5.00000      -0.94021113  -0.98700000 
  5.25000      -0.79444325  -0.82900000 
  5.50000      -0.67549762  -0.70100000 
  5.75000      -0.57769605  -0.59700000 
  6.00000      -0.49674663  -0.51200000 
  6.25000      -0.42931585  -0.44100000 
  6.50000      -0.37281010  -0.38200000 
  6.75000      -0.32520087  -0.33200000 
  7.00000      -0.28487168  -0.29000000 
  7.25000      -0.25053798  -0.25500000 
  7.50000      -0.22118173  -0.22500000 
  7.75000      -0.19596196  -0.19900000 
  8.00000      -0.17420542  -0.17700000 
  8.25000      -0.15536394  -0.15700000 
  8.50000      -0.13898517  -0.14100000 
  8.75000      -0.12468867  -0.12600000 
  9.00000      -0.11218105  -0.11300000 
  9.25000      -0.10118707  -0.10200000 
  9.50000      -0.09149691  -0.09200000 
  9.75000      -0.08294753  -0.08400000 
  10.00000     -0.07535776  -0.07600000 
