# Run number : 11
# Parameter set number : 1
# Cost function : 0.000664319822
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      9.4811e-01      9.4885e-01      6.3571e-01      5.7096e-01      6.4686e-01      3.3322e-01      4.0705e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.30410180  -0.35900000 
  2.75000      -0.14995928  -0.16900000 
  3.00000      -0.08350798  -0.08700000 
  3.25000      -0.05939626  -0.05500000 
  3.50000      -0.05500615  -0.04700000 
  3.75000      -0.05903392  -0.05000000 
  4.00000      -0.06590896  -0.05600000 
  4.25000      -0.07297335  -0.06200000 
  4.50000      -0.07904891  -0.06800000 
  4.75000      -0.08374526  -0.07300000 
  5.00000      -0.08699050  -0.07600000 
  5.25000      -0.08893485  -0.07800000 
  5.50000      -0.08975010  -0.07900000 
  5.75000      -0.08963439  -0.08000000 
  6.00000      -0.08878056  -0.07900000 
  6.25000      -0.08734641  -0.07800000 
  6.50000      -0.08548038  -0.07700000 
  6.75000      -0.08329234  -0.07500000 
  7.00000      -0.08087813  -0.07300000 
  7.25000      -0.07831723  -0.07000000 
  7.50000      -0.07567159  -0.06800000 
  7.75000      -0.07297510  -0.06600000 
  8.00000      -0.07028096  -0.06400000 
  8.25000      -0.06760435  -0.06100000 
  8.50000      -0.06497215  -0.05900000 
  8.75000      -0.06240015  -0.05700000 
  9.00000      -0.05989769  -0.05400000 
  9.25000      -0.05747296  -0.05200000 
  9.50000      -0.05513530  -0.05000000 
  9.75000      -0.05288414  -0.04800000 
  10.00000     -0.05072181  -0.04600000 
