# Run number : 11
# Parameter set number : 1
# Cost function : 0.000664319822
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      9.4811e-01      9.4885e-01      6.3571e-01      5.7096e-01      6.4686e-01      3.3322e-01      4.0705e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -7.47517205  -7.45800000 
  2.75000      -5.49683368  -5.48800000 
  3.00000      -4.16461916  -4.17400000 
  3.25000      -3.23686889  -3.26500000 
  3.50000      -2.57150383  -2.61400000 
  3.75000      -2.08184029  -2.13200000 
  4.00000      -1.71315966  -1.76700000 
  4.25000      -1.42989337  -1.48500000 
  4.50000      -1.20833410  -1.26100000 
  4.75000      -1.03223226  -1.08200000 
  5.00000      -0.89026717  -0.93700000 
  5.25000      -0.77435522  -0.81700000 
  5.50000      -0.67861195  -0.71700000 
  5.75000      -0.59872733  -0.63300000 
  6.00000      -0.53144675  -0.56200000 
  6.25000      -0.47429990  -0.50200000 
  6.50000      -0.42540204  -0.45000000 
  6.75000      -0.38325882  -0.40500000 
  7.00000      -0.34670962  -0.36600000 
  7.25000      -0.31483221  -0.33200000 
  7.50000      -0.28688206  -0.30200000 
  7.75000      -0.26225021  -0.27600000 
  8.00000      -0.24044107  -0.25200000 
  8.25000      -0.22106076  -0.23200000 
  8.50000      -0.20376154  -0.21300000 
  8.75000      -0.18827225  -0.19700000 
  9.00000      -0.17435269  -0.18200000 
  9.25000      -0.16180067  -0.16800000 
  9.50000      -0.15045779  -0.15600000 
  9.75000      -0.14016569  -0.14500000 
  10.00000     -0.13081449  -0.13500000 
