# Run number : 11
# Parameter set number : 1
# Cost function : 0.000664319822
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      9.4811e-01      9.4885e-01      6.3571e-01      5.7096e-01      6.4686e-01      3.3322e-01      4.0705e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.75966599  -0.77700000 
  2.75000      0.04287022   0.08400000  
  3.00000      0.47892787   0.50100000  
  3.25000      0.70211764   0.68600000  
  3.50000      0.80151115   0.75000000  
  3.75000      0.82939701   0.75100000  
  4.00000      0.81676434   0.72100000  
  4.25000      0.78209460   0.67700000  
  4.50000      0.73635374   0.62700000  
  4.75000      0.68611991   0.57700000  
  5.00000      0.63519297   0.52900000  
  5.25000      0.58572940   0.48400000  
  5.50000      0.53893192   0.44200000  
  5.75000      0.49533001   0.40400000  
  6.00000      0.45512588   0.37000000  
  6.25000      0.41830609   0.33900000  
  6.50000      0.38471226   0.31100000  
  6.75000      0.35415095   0.28600000  
  7.00000      0.32638431   0.26300000  
  7.25000      0.30116044   0.24300000  
  7.50000      0.27826430   0.22400000  
  7.75000      0.25745919   0.20700000  
  8.00000      0.23855809   0.19200000  
  8.25000      0.22134829   0.17800000  
  8.50000      0.20567433   0.16600000  
  8.75000      0.19138016   0.15400000  
  9.00000      0.17831911   0.14400000  
  9.25000      0.16638656   0.13500000  
  9.50000      0.15545218   0.12600000  
  9.75000      0.14542716   0.11800000  
  10.00000     0.13622206   0.11000000  
