# Run number : 11
# Parameter set number : 1
# Cost function : 0.000664319822
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      9.4811e-01      9.4885e-01      6.3571e-01      5.7096e-01      6.4686e-01      3.3322e-01      4.0705e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      4.26987433   4.19500000  
  2.75000      3.48513234   3.47000000  
  3.00000      2.87306694   2.88400000  
  3.25000      2.39167519   2.41300000  
  3.50000      2.00946655   2.03400000  
  3.75000      1.70298502   1.72700000  
  4.00000      1.45486184   1.47700000  
  4.25000      1.25211718   1.27200000  
  4.50000      1.08500186   1.10200000  
  4.75000      0.94612071   0.96100000  
  5.00000      0.82980844   0.84200000  
  5.25000      0.73171818   0.74200000  
  5.50000      0.64842409   0.65700000  
  5.75000      0.57726884   0.58500000  
  6.00000      0.51612168   0.52200000  
  6.25000      0.46329130   0.46800000  
  6.50000      0.41741603   0.42200000  
  6.75000      0.37739424   0.38100000  
  7.00000      0.34231892   0.34500000  
  7.25000      0.31145489   0.31400000  
  7.50000      0.28418324   0.28600000  
  7.75000      0.26000606   0.26200000  
  8.00000      0.23848855   0.24000000  
  8.25000      0.21928414   0.22000000  
  8.50000      0.20208369   0.20300000  
  8.75000      0.18663531   0.18700000  
  9.00000      0.17271867   0.17300000  
  9.25000      0.16015320   0.16000000  
  9.50000      0.14877468   0.14900000  
  9.75000      0.13845043   0.13800000  
  10.00000     0.12906125   0.12900000  
