# Run number : 12
# Parameter set number : 1
# Cost function : 0.00524654821
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      5.0179e-01      1.0000e+00      2.8715e-03      4.7061e-01      4.0665e-01      9.7463e-01      1.0000e-08      4.1377e-01
# Distance     Computed     Reference
  2.50000      -0.19696364  -0.35900000 
  2.75000      -0.06384832  -0.16900000 
  3.00000      -0.01731383  -0.08700000 
  3.25000      -0.01049139  -0.05500000 
  3.50000      -0.02045213  -0.04700000 
  3.75000      -0.03611557  -0.05000000 
  4.00000      -0.05226642  -0.05600000 
  4.25000      -0.06661493  -0.06200000 
  4.50000      -0.07838385  -0.06800000 
  4.75000      -0.08746213  -0.07300000 
  5.00000      -0.09405548  -0.07600000 
  5.25000      -0.09852624  -0.07800000 
  5.50000      -0.10120285  -0.07900000 
  5.75000      -0.10242895  -0.08000000 
  6.00000      -0.10251661  -0.07900000 
  6.25000      -0.10169960  -0.07800000 
  6.50000      -0.10019415  -0.07700000 
  6.75000      -0.09818143  -0.07500000 
  7.00000      -0.09578183  -0.07300000 
  7.25000      -0.09312041  -0.07000000 
  7.50000      -0.09027783  -0.06800000 
  7.75000      -0.08732303  -0.06600000 
  8.00000      -0.08431857  -0.06400000 
  8.25000      -0.08129481  -0.06100000 
  8.50000      -0.07829443  -0.05900000 
  8.75000      -0.07533380  -0.05700000 
  9.00000      -0.07243335  -0.05400000 
  9.25000      -0.06960830  -0.05200000 
  9.50000      -0.06687091  -0.05000000 
  9.75000      -0.06422059  -0.04800000 
  10.00000     -0.06167021  -0.04600000 
