# Run number : 12
# Parameter set number : 1
# Cost function : 0.00524654821
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      5.0179e-01      1.0000e+00      2.8715e-03      4.7061e-01      4.0665e-01      9.7463e-01      1.0000e-08      4.1377e-01
# Distance     Computed     Reference
  2.50000      -7.17764724  -7.45800000 
  2.75000      -5.39009761  -5.48800000 
  3.00000      -4.15000298  -4.17400000 
  3.25000      -3.26633735  -3.26500000 
  3.50000      -2.62109247  -2.61400000 
  3.75000      -2.13941202  -2.13200000 
  4.00000      -1.77253254  -1.76700000 
  4.25000      -1.48798755  -1.48500000 
  4.50000      -1.26364415  -1.26100000 
  4.75000      -1.08412758  -1.08200000 
  5.00000      -0.93857009  -0.93700000 
  5.25000      -0.81912537  -0.81700000 
  5.50000      -0.72001705  -0.71700000 
  5.75000      -0.63699647  -0.63300000 
  6.00000      -0.56681778  -0.56200000 
  6.25000      -0.50701243  -0.50200000 
  6.50000      -0.45568809  -0.45000000 
  6.75000      -0.41133813  -0.40500000 
  7.00000      -0.37277036  -0.36600000 
  7.25000      -0.33904971  -0.33200000 
  7.50000      -0.30942405  -0.30200000 
  7.75000      -0.28325168  -0.27600000 
  8.00000      -0.26004580  -0.25200000 
  8.25000      -0.23937978  -0.23200000 
  8.50000      -0.22090238  -0.21300000 
  8.75000      -0.20433368  -0.19700000 
  9.00000      -0.18942062  -0.18200000 
  9.25000      -0.17595574  -0.16800000 
  9.50000      -0.16376839  -0.15600000 
  9.75000      -0.15269492  -0.14500000 
  10.00000     -0.14262373  -0.13500000 
