# Run number : 12
# Parameter set number : 1
# Cost function : 0.00524654821
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      5.0179e-01      1.0000e+00      2.8715e-03      4.7061e-01      4.0665e-01      9.7463e-01      1.0000e-08      4.1377e-01
# Distance     Computed     Reference
  2.50000      -0.82463755  -0.77700000 
  2.75000      0.08340279   0.08400000  
  3.00000      0.57086893   0.50100000  
  3.25000      0.81680875   0.68600000  
  3.50000      0.92360210   0.75000000  
  3.75000      0.95070018   0.75100000  
  4.00000      0.93305089   0.72100000  
  4.25000      0.89134482   0.67700000  
  4.50000      0.83776581   0.62700000  
  4.75000      0.77961085   0.57700000  
  5.00000      0.72100705   0.52900000  
  5.25000      0.66433298   0.48400000  
  5.50000      0.61085800   0.44200000  
  5.75000      0.56113728   0.40400000  
  6.00000      0.51536487   0.37000000  
  6.25000      0.47348581   0.33900000  
  6.50000      0.43532830   0.31100000  
  6.75000      0.40063168   0.28600000  
  7.00000      0.36912128   0.26300000  
  7.25000      0.34052594   0.24300000  
  7.50000      0.31457331   0.22400000  
  7.75000      0.29100042   0.20700000  
  8.00000      0.26958869   0.19200000  
  8.25000      0.25010435   0.17800000  
  8.50000      0.23236273   0.16600000  
  8.75000      0.21618500   0.15400000  
  9.00000      0.20140519   0.14400000  
  9.25000      0.18790056   0.13500000  
  9.50000      0.17553262   0.12600000  
  9.75000      0.16419676   0.11800000  
  10.00000     0.15378777   0.11000000  
