# Run number : 12
# Parameter set number : 1
# Cost function : 0.00524654821
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      5.0179e-01      1.0000e+00      2.8715e-03      4.7061e-01      4.0665e-01      9.7463e-01      1.0000e-08      4.1377e-01
# Distance     Computed     Reference
  2.50000      3.88582246   4.19500000  
  2.75000      3.41338041   3.47000000  
  3.00000      2.96732696   2.88400000  
  3.25000      2.57026137   2.41300000  
  3.50000      2.22643934   2.03400000  
  3.75000      1.93252270   1.72700000  
  4.00000      1.68268952   1.47700000  
  4.25000      1.47060710   1.27200000  
  4.50000      1.29039859   1.10200000  
  4.75000      1.13689075   0.96100000  
  5.00000      1.00569697   0.84200000  
  5.25000      0.89318456   0.74200000  
  5.50000      0.79629818   0.65700000  
  5.75000      0.71253306   0.58500000  
  6.00000      0.63981685   0.52200000  
  6.25000      0.57645242   0.46800000  
  6.50000      0.52102199   0.42200000  
  6.75000      0.47234971   0.38100000  
  7.00000      0.42945027   0.34500000  
  7.25000      0.39152418   0.31400000  
  7.50000      0.35787483   0.28600000  
  7.75000      0.32792482   0.26200000  
  8.00000      0.30118733   0.24000000  
  8.25000      0.27725677   0.22000000  
  8.50000      0.25576264   0.20300000  
  8.75000      0.23641388   0.18700000  
  9.00000      0.21895161   0.17300000  
  9.25000      0.20315959   0.16000000  
  9.50000      0.18883504   0.14900000  
  9.75000      0.17582016   0.13800000  
  10.00000     0.16396475   0.12900000  
