# Run number : 13
# Parameter set number : 1
# Cost function : 0.00492305151
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      9.9222e-01      8.8014e-01      5.9676e-01      4.7478e-01      9.7737e-01      9.1398e-01      6.0972e-01      3.9458e-01
# Distance     Computed     Reference
  2.50000      0.00889711   0.18500000  
  2.75000      0.34130789   0.44200000  
  3.00000      0.50293790   0.54900000  
  3.25000      0.57110738   0.57900000  
  3.50000      0.58797939   0.57100000  
  3.75000      0.57712099   0.54400000  
  4.00000      0.55182057   0.51000000  
  4.25000      0.51964277   0.47200000  
  4.50000      0.48495083   0.43500000  
  4.75000      0.45015369   0.40000000  
  5.00000      0.41658616   0.36700000  
  5.25000      0.38492849   0.33600000  
  5.50000      0.35548809   0.30900000  
  5.75000      0.32833742   0.28400000  
  6.00000      0.30342972   0.26100000  
  6.25000      0.28066215   0.24100000  
  6.50000      0.25989210   0.22200000  
  6.75000      0.24093023   0.20500000  
  7.00000      0.22365848   0.19000000  
  7.25000      0.20789568   0.17600000  
  7.50000      0.19349924   0.16400000  
  7.75000      0.18036163   0.15200000  
  8.00000      0.16834142   0.14200000  
  8.25000      0.15732464   0.13200000  
  8.50000      0.14722657   0.12300000  
  8.75000      0.13795953   0.11600000  
  9.00000      0.12943001   0.10800000  
  9.25000      0.12157608   0.10200000  
  9.50000      0.11433929   0.09500000  
  9.75000      0.10765828   0.09000000  
  10.00000     0.10147752   0.08400000  
