# Run number : 18
# Parameter set number : 1
# Cost function : 0.00504037148
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      5.0680e-01      9.2463e-01      6.9588e-02      4.7108e-01      4.6683e-01      9.5173e-01      7.6693e-02      4.0124e-01
# Distance     Computed     Reference
  2.50000      3.85977399   4.19500000  
  2.75000      3.40032695   3.47000000  
  3.00000      2.96288893   2.88400000  
  3.25000      2.57128877   2.41300000  
  3.50000      2.23079205   2.03400000  
  3.75000      1.93880514   1.72700000  
  4.00000      1.68998183   1.47700000  
  4.25000      1.47832370   1.27200000  
  4.50000      1.29816778   1.10200000  
  4.75000      1.14449046   0.96100000  
  5.00000      1.01300214   0.84200000  
  5.25000      0.90011453   0.74200000  
  5.50000      0.80281790   0.65700000  
  5.75000      0.71863784   0.58500000  
  6.00000      0.64551254   0.52200000  
  6.25000      0.58175305   0.46800000  
  6.50000      0.52595093   0.42200000  
  6.75000      0.47692800   0.38100000  
  7.00000      0.43370363   0.34500000  
  7.25000      0.39547482   0.31400000  
  7.50000      0.36154612   0.28600000  
  7.75000      0.33133896   0.26200000  
  8.00000      0.30436186   0.24000000  
  8.25000      0.28021799   0.22000000  
  8.50000      0.25852282   0.20300000  
  8.75000      0.23899290   0.18700000  
  9.00000      0.22135998   0.17300000  
  9.25000      0.20541251   0.16000000  
  9.50000      0.19094302   0.14900000  
  9.75000      0.17779606   0.13800000  
  10.00000     0.16581792   0.12900000  
