# Run number : 5
# Parameter set number : 1
# Cost function : 0.00472721381
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      4.0602e-01      5.7531e-01      2.1766e-01      4.8784e-01      6.8643e-01      9.9111e-01      2.9059e-01      3.4361e-01
# Distance     Computed     Reference
  2.50000      -7.17600971  -7.45800000 
  2.75000      -5.44720063  -5.48800000 
  3.00000      -4.22546944  -4.17400000 
  3.25000      -3.34192887  -3.26500000 
  3.50000      -2.68935194  -2.61400000 
  3.75000      -2.19802283  -2.13200000 
  4.00000      -1.82148768  -1.76700000 
  4.25000      -1.52819168  -1.48500000 
  4.50000      -1.29636662  -1.26100000 
  4.75000      -1.11056994  -1.08200000 
  5.00000      -0.95986378  -0.93700000 
  5.25000      -0.83620426  -0.81700000 
  5.50000      -0.73368180  -0.71700000 
  5.75000      -0.64788643  -0.63300000 
  6.00000      -0.57547411  -0.56200000 
  6.25000      -0.51386526  -0.50200000 
  6.50000      -0.46107462  -0.45000000 
  6.75000      -0.41553246  -0.40500000 
  7.00000      -0.37600684  -0.36600000 
  7.25000      -0.34151477  -0.33200000 
  7.50000      -0.31125560  -0.30200000 
  7.75000      -0.28457480  -0.27600000 
  8.00000      -0.26095339  -0.25200000 
  8.25000      -0.23995659  -0.23200000 
  8.50000      -0.22120394  -0.21300000 
  8.75000      -0.20441667  -0.19700000 
  9.00000      -0.18932653  -0.18200000 
  9.25000      -0.17571788  -0.16800000 
  9.50000      -0.16342241  -0.15600000 
  9.75000      -0.15226129  -0.14500000 
  10.00000     -0.14211587  -0.13500000 
