# Run number : 6
# Parameter set number : 1
# Cost function : 0.00815973363
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      9.9976e-01      7.9814e-01      6.2858e-01      4.3340e-01      8.6942e-01      7.1469e-01      5.8598e-01      4.4445e-01
# Distance     Computed     Reference
  2.50000      -0.70118609  -0.77700000 
  2.75000      0.18546239   0.08400000  
  3.00000      0.65566964   0.50100000  
  3.25000      0.88814925   0.68600000  
  3.50000      0.98446056   0.75000000  
  3.75000      1.00323192   0.75100000  
  4.00000      0.97885955   0.72100000  
  4.25000      0.93162025   0.67700000  
  4.50000      0.87342321   0.62700000  
  4.75000      0.81134332   0.57700000  
  5.00000      0.74939083   0.52900000  
  5.25000      0.68982743   0.48400000  
  5.50000      0.63384648   0.44200000  
  5.75000      0.58192720   0.40400000  
  6.00000      0.53422739   0.37000000  
  6.25000      0.49065353   0.33900000  
  6.50000      0.45098473   0.31100000  
  6.75000      0.41495214   0.28600000  
  7.00000      0.38225305   0.26300000  
  7.25000      0.35258940   0.24300000  
  7.50000      0.32567950   0.22400000  
  7.75000      0.30125687   0.20700000  
  8.00000      0.27906319   0.19200000  
  8.25000      0.25887756   0.17800000  
  8.50000      0.24050244   0.16600000  
  8.75000      0.22374380   0.15400000  
  9.00000      0.20844503   0.14400000  
  9.25000      0.19446820   0.13500000  
  9.50000      0.18166020   0.12600000  
  9.75000      0.16992635   0.11800000  
  10.00000     0.15915327   0.11000000  
