# Run number : 8
# Parameter set number : 1
# Cost function : 0.375272998
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      1.0000e+00      1.0000e-08      1.0000e+00      2.4734e-01      4.5582e-01      1.0000e-08      1.0000e+00
# Distance     Computed     Reference
  2.50000      3.00622200   0.18500000  
  2.75000      2.46163881   0.44200000  
  3.00000      2.03735943   0.54900000  
  3.25000      1.70367229   0.57900000  
  3.50000      1.43849242   0.57100000  
  3.75000      1.22552520   0.54400000  
  4.00000      1.05276562   0.51000000  
  4.25000      0.91121721   0.47200000  
  4.50000      0.79420832   0.43500000  
  4.75000      0.69664403   0.40000000  
  5.00000      0.61462980   0.36700000  
  5.25000      0.54520501   0.33600000  
  5.50000      0.48600277   0.30900000  
  5.75000      0.43521258   0.28400000  
  6.00000      0.39138159   0.26100000  
  6.25000      0.35333277   0.24100000  
  6.50000      0.32015329   0.22200000  
  6.75000      0.29106237   0.20500000  
  7.00000      0.26545338   0.19000000  
  7.25000      0.24280152   0.17600000  
  7.50000      0.22269828   0.16400000  
  7.75000      0.20479829   0.15200000  
  8.00000      0.18879413   0.14200000  
  8.25000      0.17443334   0.13200000  
  8.50000      0.16152132   0.12300000  
  8.75000      0.14986753   0.11600000  
  9.00000      0.13932179   0.10800000  
  9.25000      0.12975436   0.10200000  
  9.50000      0.12105362   0.09500000  
  9.75000      0.11313832   0.09000000  
  10.00000     0.10589511   0.08400000  
