# Run number : 8
# Parameter set number : 1
# Cost function : 0.375272998
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      1.0000e+00      1.0000e-08      1.0000e+00      2.4734e-01      4.5582e-01      1.0000e-08      1.0000e+00
# Distance     Computed     Reference
  2.50000      -5.71666542  -7.45800000 
  2.75000      -4.43813978  -5.48800000 
  3.00000      -3.53760797  -4.17400000 
  3.25000      -2.88118795  -3.26500000 
  3.50000      -2.38854390  -2.61400000 
  3.75000      -2.00963603  -2.13200000 
  4.00000      -1.71196395  -1.76700000 
  4.25000      -1.47386696  -1.48500000 
  4.50000      -1.28048577  -1.26100000 
  4.75000      -1.12126003  -1.08200000 
  5.00000      -0.98864029  -0.93700000 
  5.25000      -0.87706293  -0.81700000 
  5.50000      -0.78231551  -0.71700000 
  5.75000      -0.70123518  -0.63300000 
  6.00000      -0.63133701  -0.56200000 
  6.25000      -0.57069361  -0.50200000 
  6.50000      -0.51778434  -0.45000000 
  6.75000      -0.47136673  -0.40500000 
  7.00000      -0.43044961  -0.36600000 
  7.25000      -0.39422885  -0.33200000 
  7.50000      -0.36203118  -0.30200000 
  7.75000      -0.33329909  -0.27600000 
  8.00000      -0.30757204  -0.25200000 
  8.25000      -0.28446083  -0.23200000 
  8.50000      -0.26362650  -0.21300000 
  8.75000      -0.24480956  -0.19700000 
  9.00000      -0.22775638  -0.18200000 
  9.25000      -0.21226008  -0.16800000 
  9.50000      -0.19815468  -0.15600000 
  9.75000      -0.18527304  -0.14500000 
  10.00000     -0.17349536  -0.13500000 
