# Run number : 8
# Parameter set number : 1
# Cost function : 0.375272998
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      1.0000e+00      1.0000e-08      1.0000e+00      2.4734e-01      4.5582e-01      1.0000e-08      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.60819658  -0.77700000 
  2.75000      0.47547048   0.08400000  
  3.00000      1.01769498   0.50100000  
  3.25000      1.26267986   0.68600000  
  3.50000      1.34419851   0.75000000  
  3.75000      1.33679048   0.75100000  
  4.00000      1.28264810   0.72100000  
  4.25000      1.20580359   0.67700000  
  4.50000      1.11987146   0.62700000  
  4.75000      1.03256830   0.57700000  
  5.00000      0.94803993   0.52900000  
  5.25000      0.86844400   0.48400000  
  5.50000      0.79475066   0.44200000  
  5.75000      0.72721235   0.40400000  
  6.00000      0.66573558   0.37000000  
  6.25000      0.60997904   0.33900000  
  6.50000      0.55952898   0.31100000  
  6.75000      0.51393656   0.28600000  
  7.00000      0.47274360   0.26300000  
  7.25000      0.43550362   0.24300000  
  7.50000      0.40183206   0.22400000  
  7.75000      0.37134322   0.20700000  
  8.00000      0.34371099   0.19200000  
  8.25000      0.31862038   0.17800000  
  8.50000      0.29582650   0.16600000  
  8.75000      0.27506873   0.15400000  
  9.00000      0.25613608   0.14400000  
  9.25000      0.23886725   0.13500000  
  9.50000      0.22306062   0.12600000  
  9.75000      0.20858353   0.11800000  
  10.00000     0.19530976   0.11000000  
