# Run number : 8
# Parameter set number : 1
# Cost function : 0.375272998
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      1.0000e+00      1.0000e-08      1.0000e+00      2.4734e-01      4.5582e-01      1.0000e-08      1.0000e+00
# Distance     Computed     Reference
  2.50000      1.39753557   4.19500000  
  2.75000      1.15073783   3.47000000  
  3.00000      0.95310328   2.88400000  
  3.25000      0.79562494   2.41300000  
  3.50000      0.66990361   2.03400000  
  3.75000      0.56887141   1.72700000  
  4.00000      0.48706173   1.47700000  
  4.25000      0.42025978   1.27200000  
  4.50000      0.36524195   1.10200000  
  4.75000      0.31954083   0.96100000  
  5.00000      0.28127578   0.84200000  
  5.25000      0.24899279   0.74200000  
  5.50000      0.22156394   0.65700000  
  5.75000      0.19809390   0.58500000  
  6.00000      0.17788489   0.52200000  
  6.25000      0.16039340   0.46800000  
  6.50000      0.14516593   0.42200000  
  6.75000      0.13184013   0.38100000  
  7.00000      0.12011447   0.34500000  
  7.25000      0.10977619   0.31400000  
  7.50000      0.10060675   0.28600000  
  7.75000      0.09244483   0.26200000  
  8.00000      0.08515019   0.24000000  
  8.25000      0.07862638   0.22000000  
  8.50000      0.07275420   0.20300000  
  8.75000      0.06745532   0.18700000  
  9.00000      0.06267131   0.17300000  
  9.25000      0.05832795   0.16000000  
  9.50000      0.05438316   0.14900000  
  9.75000      0.05079136   0.13800000  
  10.00000     0.04751572   0.12900000  
