# Run number : 9
# Parameter set number : 1
# Cost function : 0.0052481166
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      9.6855e-01      5.3098e-01      4.7191e-01      9.1687e-01      9.4398e-01      5.2890e-01      4.1332e-01
# Distance     Computed     Reference
  2.50000      -0.01114476  0.18500000  
  2.75000      0.33124195   0.44200000  
  3.00000      0.49756364   0.54900000  
  3.25000      0.56792934   0.57900000  
  3.50000      0.58581355   0.57100000  
  3.75000      0.57538762   0.54400000  
  4.00000      0.55026603   0.51000000  
  4.25000      0.51816421   0.47200000  
  4.50000      0.48348278   0.43500000  
  4.75000      0.44868331   0.40000000  
  5.00000      0.41512513   0.36700000  
  5.25000      0.38347798   0.33600000  
  5.50000      0.35406095   0.30900000  
  5.75000      0.32694418   0.28400000  
  6.00000      0.30207622   0.26100000  
  6.25000      0.27934839   0.24100000  
  6.50000      0.25862275   0.22200000  
  6.75000      0.23970880   0.20500000  
  7.00000      0.22248731   0.19000000  
  7.25000      0.20677244   0.17600000  
  7.50000      0.19242626   0.16400000  
  7.75000      0.17933190   0.15200000  
  8.00000      0.16736136   0.14200000  
  8.25000      0.15639192   0.13200000  
  8.50000      0.14633358   0.12300000  
  8.75000      0.13710453   0.11600000  
  9.00000      0.12862002   0.10800000  
  9.25000      0.12080232   0.10200000  
  9.50000      0.11359943   0.09500000  
  9.75000      0.10695289   0.09000000  
  10.00000     0.10080720   0.08400000  
