# Run number : 9
# Parameter set number : 1
# Cost function : 0.0052481166
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      9.6855e-01      5.3098e-01      4.7191e-01      9.1687e-01      9.4398e-01      5.2890e-01      4.1332e-01
# Distance     Computed     Reference
  2.50000      -7.14277646  -7.45800000 
  2.75000      -5.36492693  -5.48800000 
  3.00000      -4.13116033  -4.17400000 
  3.25000      -3.25176559  -3.26500000 
  3.50000      -2.60948836  -2.61400000 
  3.75000      -2.12994686  -2.13200000 
  4.00000      -1.76465582  -1.76700000 
  4.25000      -1.48129485  -1.48500000 
  4.50000      -1.25789819  -1.26100000 
  4.75000      -1.07912266  -1.08200000 
  5.00000      -0.93417764  -0.93700000 
  5.25000      -0.81523084  -0.81700000 
  5.50000      -0.71654564  -0.71700000 
  5.75000      -0.63388038  -0.63300000 
  6.00000      -0.56400675  -0.56200000 
  6.25000      -0.50446906  -0.50200000 
  6.50000      -0.45337030  -0.45000000 
  6.75000      -0.40921437  -0.40500000 
  7.00000      -0.37082543  -0.36600000 
  7.25000      -0.33726842  -0.33200000 
  7.50000      -0.30777834  -0.30200000 
  7.75000      -0.28173630  -0.27600000 
  8.00000      -0.25864321  -0.25200000 
  8.25000      -0.23808121  -0.23200000 
  8.50000      -0.21969148  -0.21300000 
  8.75000      -0.20320576  -0.19700000 
  9.00000      -0.18836693  -0.18200000 
  9.25000      -0.17497217  -0.16800000 
  9.50000      -0.16284735  -0.15600000 
  9.75000      -0.15183116  -0.14500000 
  10.00000     -0.14181782  -0.13500000 
