# Run number : 9
# Parameter set number : 1
# Cost function : 0.0052481166
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      9.6855e-01      5.3098e-01      4.7191e-01      9.1687e-01      9.4398e-01      5.2890e-01      4.1332e-01
# Distance     Computed     Reference
  2.50000      -0.79507325  -0.77700000 
  2.75000      0.09774196   0.08400000  
  3.00000      0.57649567   0.50100000  
  3.25000      0.81746563   0.68600000  
  3.50000      0.92150055   0.75000000  
  3.75000      0.94711655   0.75100000  
  4.00000      0.92875429   0.72100000  
  4.25000      0.88677588   0.67700000  
  4.50000      0.83318869   0.62700000  
  4.75000      0.77515528   0.57700000  
  5.00000      0.71676655   0.52900000  
  5.25000      0.66033443   0.48400000  
  5.50000      0.60712243   0.44200000  
  5.75000      0.55766821   0.40400000  
  6.00000      0.51214826   0.37000000  
  6.25000      0.47050881   0.33900000  
  6.50000      0.43257688   0.31100000  
  6.75000      0.39809065   0.28600000  
  7.00000      0.36677194   0.26300000  
  7.25000      0.33834842   0.24300000  
  7.50000      0.31255358   0.22400000  
  7.75000      0.28913263   0.20700000  
  8.00000      0.26785648   0.19200000  
  8.25000      0.24848903   0.17800000  
  8.50000      0.23086429   0.16600000  
  8.75000      0.21478474   0.15400000  
  9.00000      0.20010194   0.14400000  
  9.25000      0.18668615   0.13500000  
  9.50000      0.17439594   0.12600000  
  9.75000      0.16313196   0.11800000  
  10.00000     0.15278784   0.11000000  
