# Run number : 9
# Parameter set number : 1
# Cost function : 0.0052481166
#       ChiCH3          EtaCH3          ChiH3C          EtaH3C           ChiOH           EtaOH           ChiHO           EtaHO
#      1.0000e+00      9.6855e-01      5.3098e-01      4.7191e-01      9.1687e-01      9.4398e-01      5.2890e-01      4.1332e-01
# Distance     Computed     Reference
  2.50000      3.86588695   4.19500000  
  2.75000      3.39555814   3.47000000  
  3.00000      2.95202351   2.88400000  
  3.25000      2.55731545   2.41300000  
  3.50000      2.21552484   2.03400000  
  3.75000      1.92333221   1.72700000  
  4.00000      1.67491215   1.47700000  
  4.25000      1.46399622   1.27200000  
  4.50000      1.28473913   1.10200000  
  4.75000      1.13202960   0.96100000  
  5.00000      1.00149621   0.84200000  
  5.25000      0.88953197   0.74200000  
  5.50000      0.79310495   0.65700000  
  5.75000      0.70972203   0.58500000  
  6.00000      0.63733777   0.52200000  
  6.25000      0.57425386   0.46800000  
  6.50000      0.51906070   0.42200000  
  6.75000      0.47059530   0.38100000  
  7.00000      0.42787469   0.34500000  
  7.25000      0.39010289   0.31400000  
  7.50000      0.35659380   0.28600000  
  7.75000      0.32676418   0.26200000  
  8.00000      0.30012954   0.24000000  
  8.25000      0.27628957   0.22000000  
  8.50000      0.25488134   0.20300000  
  8.75000      0.23560564   0.18700000  
  9.00000      0.21821467   0.17300000  
  9.25000      0.20247466   0.16000000  
  9.50000      0.18820387   0.14900000  
  9.75000      0.17523574   0.13800000  
  10.00000     0.16342475   0.12900000  
