# Run number : 10
# Parameter set number : 1
# Cost function : 0.0914888274
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      1.0000e+00      1.0000e+00      6.3239e-01      4.5947e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.20623244  -0.35900000 
  2.75000      0.00144116   -0.16900000 
  3.00000      0.08991199   -0.08700000 
  3.25000      0.11897252   -0.05500000 
  3.50000      0.11921330   -0.04700000 
  3.75000      0.10640179   -0.05000000 
  4.00000      0.08863913   -0.05600000 
  4.25000      0.07001739   -0.06200000 
  4.50000      0.05248499   -0.06800000 
  4.75000      0.03685193   -0.07300000 
  5.00000      0.02339640   -0.07600000 
  5.25000      0.01205177   -0.07800000 
  5.50000      0.00264739   -0.07900000 
  5.75000      -0.00503647  -0.08000000 
  6.00000      -0.01124996  -0.07900000 
  6.25000      -0.01620637  -0.07800000 
  6.50000      -0.02010557  -0.07700000 
  6.75000      -0.02313634  -0.07500000 
  7.00000      -0.02543659  -0.07300000 
  7.25000      -0.02714424  -0.07000000 
  7.50000      -0.02835515  -0.06800000 
  7.75000      -0.02916339  -0.06600000 
  8.00000      -0.02964729  -0.06400000 
  8.25000      -0.02986761  -0.06100000 
  8.50000      -0.02986527  -0.05900000 
  8.75000      -0.02969813  -0.05700000 
  9.00000      -0.02939131  -0.05400000 
  9.25000      -0.02897404  -0.05200000 
  9.50000      -0.02847963  -0.05000000 
  9.75000      -0.02791742  -0.04800000 
  10.00000     -0.02730788  -0.04600000 
