# Run number : 10
# Parameter set number : 1
# Cost function : 0.0914888274
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      1.0000e+00      1.0000e+00      6.3239e-01      4.5947e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -7.41665474  -7.45800000 
  2.75000      -5.63656223  -5.48800000 
  3.00000      -4.38709244  -4.17400000 
  3.25000      -3.48656532  -3.26500000 
  3.50000      -2.82180922  -2.61400000 
  3.75000      -2.32043754  -2.13200000 
  4.00000      -1.93489308  -1.76700000 
  4.25000      -1.63321776  -1.48500000 
  4.50000      -1.39348091  -1.26100000 
  4.75000      -1.20025167  -1.08200000 
  5.00000      -1.04256293  -0.93700000 
  5.25000      -0.91241059  -0.81700000 
  5.50000      -0.80388270  -0.71700000 
  5.75000      -0.71255117  -0.63300000 
  6.00000      -0.63505505  -0.56200000 
  6.25000      -0.56878550  -0.50200000 
  6.50000      -0.51174618  -0.45000000 
  6.75000      -0.46232059  -0.40500000 
  7.00000      -0.41925459  -0.36600000 
  7.25000      -0.38153656  -0.33200000 
  7.50000      -0.34832260  -0.30200000 
  7.75000      -0.31896167  -0.27600000 
  8.00000      -0.29288574  -0.25200000 
  8.25000      -0.26964128  -0.23200000 
  8.50000      -0.24884435  -0.21300000 
  8.75000      -0.23017761  -0.19700000 
  9.00000      -0.21337222  -0.18200000 
  9.25000      -0.19818565  -0.16800000 
  9.50000      -0.18444084  -0.15600000 
  9.75000      -0.17194959  -0.14500000 
  10.00000     -0.16058216  -0.13500000 
