# Run number : 10
# Parameter set number : 1
# Cost function : 0.0914888274
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      1.0000e+00      1.0000e+00      6.3239e-01      4.5947e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      0.42747495   -0.77700000 
  2.75000      0.97694618   0.08400000  
  3.00000      1.22689858   0.50100000  
  3.25000      1.31086007   0.68600000  
  3.50000      1.30425152   0.75000000  
  3.75000      1.24999693   0.75100000  
  4.00000      1.17270944   0.72100000  
  4.25000      1.08637055   0.67700000  
  4.50000      0.99880674   0.62700000  
  4.75000      0.91430058   0.57700000  
  5.00000      0.83498050   0.52900000  
  5.25000      0.76177923   0.48400000  
  5.50000      0.69494572   0.44200000  
  5.75000      0.63430349   0.40400000  
  6.00000      0.57951241   0.37000000  
  6.25000      0.53010961   0.33900000  
  6.50000      0.48561239   0.31100000  
  6.75000      0.44553566   0.28600000  
  7.00000      0.40943061   0.26300000  
  7.25000      0.37687762   0.24300000  
  7.50000      0.34749039   0.22400000  
  7.75000      0.32093290   0.20700000  
  8.00000      0.29689072   0.19200000  
  8.25000      0.27509444   0.17800000  
  8.50000      0.25530972   0.16600000  
  8.75000      0.23730920   0.15400000  
  9.00000      0.22091173   0.14400000  
  9.25000      0.20595367   0.13500000  
  9.50000      0.19227840   0.12600000  
  9.75000      0.17976202   0.11800000  
  10.00000     0.16828590   0.11000000  
