# Run number : 10
# Parameter set number : 1
# Cost function : 0.0914888274
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      1.0000e+00      1.0000e+00      6.3239e-01      4.5947e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      2.04242396   4.19500000  
  2.75000      1.89346168   3.47000000  
  3.00000      1.70242866   2.88400000  
  3.25000      1.50826319   2.41300000  
  3.50000      1.32736273   2.03400000  
  3.75000      1.16547206   1.72700000  
  4.00000      1.02354028   1.47700000  
  4.25000      0.90039739   1.27200000  
  4.50000      0.79405053   1.10200000  
  4.75000      0.70236660   0.96100000  
  5.00000      0.62326509   0.84200000  
  5.25000      0.55492030   0.74200000  
  5.50000      0.49571689   0.65700000  
  5.75000      0.44429437   0.58500000  
  6.00000      0.39948038   0.52200000  
  6.25000      0.36030132   0.46800000  
  6.50000      0.32593840   0.42200000  
  6.75000      0.29569560   0.38100000  
  7.00000      0.26899492   0.34500000  
  7.25000      0.24535131   0.31400000  
  7.50000      0.22434867   0.28600000  
  7.75000      0.20563342   0.26200000  
  8.00000      0.18891101   0.24000000  
  8.25000      0.17393133   0.22000000  
  8.50000      0.16046762   0.20300000  
  8.75000      0.14834338   0.18700000  
  9.00000      0.13739323   0.17300000  
  9.25000      0.12748625   0.16000000  
  9.50000      0.11849739   0.14900000  
  9.75000      0.11033080   0.13800000  
  10.00000     0.10288596   0.12900000  
