# Run number : 11
# Parameter set number : 1
# Cost function : 0.235394666
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      4.0939e-01      1.0000e+00      8.5364e-01      5.5947e-01      8.9423e-01      3.5332e-01
# Distance     Computed     Reference
  2.50000      -1.93801560  0.18500000  
  2.75000      -1.14888291  0.44200000  
  3.00000      -0.65995398  0.54900000  
  3.25000      -0.35188810  0.57900000  
  3.50000      -0.15562868  0.57100000  
  3.75000      -0.03005638  0.54400000  
  4.00000      0.05000883   0.51000000  
  4.25000      0.10037298   0.47200000  
  4.50000      0.13113533   0.43500000  
  4.75000      0.14886760   0.40000000  
  5.00000      0.15789269   0.36700000  
  5.25000      0.16110755   0.33600000  
  5.50000      0.16048632   0.30900000  
  5.75000      0.15735211   0.28400000  
  6.00000      0.15260901   0.26100000  
  6.25000      0.14690163   0.24100000  
  6.50000      0.14064607   0.22200000  
  6.75000      0.13414798   0.20500000  
  7.00000      0.12759642   0.19000000  
  7.25000      0.12114537   0.17600000  
  7.50000      0.11486497   0.16400000  
  7.75000      0.10881016   0.15200000  
  8.00000      0.10302914   0.14200000  
  8.25000      0.09753478   0.13200000  
  8.50000      0.09232386   0.12300000  
  8.75000      0.08740807   0.11600000  
  9.00000      0.08277484   0.10800000  
  9.25000      0.07840635   0.10200000  
  9.50000      0.07431195   0.09500000  
  9.75000      0.07045278   0.09000000  
  10.00000     0.06683409   0.08400000  
