# Run number : 11
# Parameter set number : 1
# Cost function : 0.235394666
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      4.0939e-01      1.0000e+00      8.5364e-01      5.5947e-01      8.9423e-01      3.5332e-01
# Distance     Computed     Reference
  2.50000      -7.95485848  -7.45800000 
  2.75000      -5.80913422  -5.48800000 
  3.00000      -4.35971502  -4.17400000 
  3.25000      -3.34994761  -3.26500000 
  3.50000      -2.62734102  -2.61400000 
  3.75000      -2.09788186  -2.13200000 
  4.00000      -1.70174490  -1.76700000 
  4.25000      -1.39980192  -1.48500000 
  4.50000      -1.16577596  -1.26100000 
  4.75000      -0.98166064  -1.08200000 
  5.00000      -0.83483673  -0.93700000 
  5.25000      -0.71631129  -0.81700000 
  5.50000      -0.61956342  -0.71700000 
  5.75000      -0.53978516  -0.63300000 
  6.00000      -0.47338471  -0.56200000 
  6.25000      -0.41765038  -0.50200000 
  6.50000      -0.37051920  -0.45000000 
  6.75000      -0.33036066  -0.40500000 
  7.00000      -0.29591943  -0.36600000 
  7.25000      -0.26621048  -0.33200000 
  7.50000      -0.24042617  -0.30200000 
  7.75000      -0.21793707  -0.27600000 
  8.00000      -0.19822276  -0.25200000 
  8.25000      -0.18087153  -0.23200000 
  8.50000      -0.16552104  -0.21300000 
  8.75000      -0.15189866  -0.19700000 
  9.00000      -0.13976069  -0.18200000 
  9.25000      -0.12890141  -0.16800000 
  9.50000      -0.11915866  -0.15600000 
  9.75000      -0.11039626  -0.14500000 
  10.00000     -0.10248856  -0.13500000 
