# Run number : 11
# Parameter set number : 1
# Cost function : 0.235394666
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      4.0939e-01      1.0000e+00      8.5364e-01      5.5947e-01      8.9423e-01      3.5332e-01
# Distance     Computed     Reference
  2.50000      2.47081644   -0.77700000 
  2.75000      1.96216648   0.08400000  
  3.00000      1.60945786   0.50100000  
  3.25000      1.34916719   0.68600000  
  3.50000      1.14816642   0.75000000  
  3.75000      0.98794367   0.75100000  
  4.00000      0.85734015   0.72100000  
  4.25000      0.74916291   0.67700000  
  4.50000      0.65849996   0.62700000  
  4.75000      0.58179513   0.57700000  
  5.00000      0.51642090   0.52900000  
  5.25000      0.46033943   0.48400000  
  5.50000      0.41196404   0.44200000  
  5.75000      0.37003355   0.40400000  
  6.00000      0.33350597   0.37000000  
  6.25000      0.30154966   0.33900000  
  6.50000      0.27350192   0.31100000  
  6.75000      0.24877013   0.28600000  
  7.00000      0.22689905   0.26300000  
  7.25000      0.20748425   0.24300000  
  7.50000      0.19020257   0.22400000  
  7.75000      0.17475769   0.20700000  
  8.00000      0.16093515   0.19200000  
  8.25000      0.14851578   0.17800000  
  8.50000      0.13732894   0.16600000  
  8.75000      0.12723788   0.15400000  
  9.00000      0.11810028   0.14400000  
  9.25000      0.10980775   0.13500000  
  9.50000      0.10227466   0.12600000  
  9.75000      0.09541248   0.11800000  
  10.00000     0.08914407   0.11000000  
