# Run number : 11
# Parameter set number : 1
# Cost function : 0.235394666
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      4.0939e-01      1.0000e+00      8.5364e-01      5.5947e-01      8.9423e-01      3.5332e-01
# Distance     Computed     Reference
  2.50000      3.66112314   4.19500000  
  2.75000      3.20313714   3.47000000  
  3.00000      2.77520459   2.88400000  
  3.25000      2.39700153   2.41300000  
  3.50000      2.07118761   2.03400000  
  3.75000      1.79381220   1.72700000  
  4.00000      1.55880676   1.47700000  
  4.25000      1.35985844   1.27200000  
  4.50000      1.19120320   1.10200000  
  4.75000      1.04783083   0.96100000  
  5.00000      0.92554644   0.84200000  
  5.25000      0.82084939   0.74200000  
  5.50000      0.73083133   0.65700000  
  5.75000      0.65312160   0.58500000  
  6.00000      0.58576505   0.52200000  
  6.25000      0.52715248   0.46800000  
  6.50000      0.47593918   0.42200000  
  6.75000      0.43102555   0.38100000  
  7.00000      0.39150139   0.34500000  
  7.25000      0.35658474   0.31400000  
  7.50000      0.32565028   0.28600000  
  7.75000      0.29813260   0.26200000  
  8.00000      0.27360010   0.24000000  
  8.25000      0.25165567   0.22000000  
  8.50000      0.23197731   0.20300000  
  8.75000      0.21428069   0.18700000  
  9.00000      0.19832094   0.17300000  
  9.25000      0.18389266   0.16000000  
  9.50000      0.17082459   0.14900000  
  9.75000      0.15895662   0.13800000  
  10.00000     0.14815315   0.12900000  
