# Run number : 15
# Parameter set number : 1
# Cost function : 0.00949721796
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      2.1274e-01      5.8865e-01      1.8950e-05      4.1614e-01      3.4047e-01      8.5469e-01
# Distance     Computed     Reference
  2.50000      3.99357190   4.19500000  
  2.75000      3.42725906   3.47000000  
  3.00000      2.93737344   2.88400000  
  3.25000      2.52110871   2.41300000  
  3.50000      2.17034618   2.03400000  
  3.75000      1.87560902   1.72700000  
  4.00000      1.62789259   1.47700000  
  4.25000      1.41923834   1.27200000  
  4.50000      1.24291851   1.10200000  
  4.75000      1.09335663   0.96100000  
  5.00000      0.96592414   0.84200000  
  5.25000      0.85690184   0.74200000  
  5.50000      0.76319584   0.65700000  
  5.75000      0.68231538   0.58500000  
  6.00000      0.61220098   0.52200000  
  6.25000      0.55116953   0.46800000  
  6.50000      0.49783247   0.42200000  
  6.75000      0.45103733   0.38100000  
  7.00000      0.40982450   0.34500000  
  7.25000      0.37341789   0.31400000  
  7.50000      0.34113957   0.28600000  
  7.75000      0.31242735   0.26200000  
  8.00000      0.28680901   0.24000000  
  8.25000      0.26388890   0.22000000  
  8.50000      0.24332281   0.20300000  
  8.75000      0.22481386   0.18700000  
  9.00000      0.20811483   0.17300000  
  9.25000      0.19302178   0.16000000  
  9.50000      0.17933716   0.14900000  
  9.75000      0.16690961   0.13800000  
  10.00000     0.15559653   0.12900000  
