# Run number : 20
# Parameter set number : 1
# Cost function : 0.156875753
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      6.1369e-01      1.0000e+00      5.6626e-01      5.8723e-01      8.8550e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.66630947  0.18500000  
  2.75000      -0.25265020  0.44200000  
  3.00000      -0.01714669  0.54900000  
  3.25000      0.11593883   0.57900000  
  3.50000      0.18895156   0.57100000  
  3.75000      0.22623369   0.54400000  
  4.00000      0.24211542   0.51000000  
  4.25000      0.24520229   0.47200000  
  4.50000      0.24074000   0.43500000  
  4.75000      0.23196065   0.40000000  
  5.00000      0.22086703   0.36700000  
  5.25000      0.20869793   0.33600000  
  5.50000      0.19622699   0.30900000  
  5.75000      0.18392144   0.28400000  
  6.00000      0.17205040   0.26100000  
  6.25000      0.16077794   0.24100000  
  6.50000      0.15016982   0.22200000  
  6.75000      0.14025598   0.20500000  
  7.00000      0.13103116   0.19000000  
  7.25000      0.12247623   0.17600000  
  7.50000      0.11455158   0.16400000  
  7.75000      0.10722260   0.15200000  
  8.00000      0.10044998   0.14200000  
  8.25000      0.09419055   0.13200000  
  8.50000      0.08840391   0.12300000  
  8.75000      0.08305514   0.11600000  
  9.00000      0.07810245   0.10800000  
  9.25000      0.07351751   0.10200000  
  9.50000      0.06927292   0.09500000  
  9.75000      0.06533390   0.09000000  
  10.00000     0.06167905   0.08400000  
