# Run number : 3
# Parameter set number : 1
# Cost function : 0.0624560287
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      2.2011e-01      1.0000e+00      1.0000e-08      4.9842e-01      3.6464e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -6.17932322  -7.45800000 
  2.75000      -4.62844695  -5.48800000 
  3.00000      -3.55449343  -4.17400000 
  3.25000      -2.79035259  -3.26500000 
  3.50000      -2.23315191  -2.61400000 
  3.75000      -1.81777841  -2.13200000 
  4.00000      -1.50186679  -1.76700000 
  4.25000      -1.25722846  -1.48500000 
  4.50000      -1.06470635  -1.26100000 
  4.75000      -0.91093670  -1.08200000 
  5.00000      -0.78650751  -0.93700000 
  5.25000      -0.68461154  -0.81700000 
  5.50000      -0.60025324  -0.71700000 
  5.75000      -0.52974202  -0.63300000 
  6.00000      -0.47027680  -0.56200000 
  6.25000      -0.41971803  -0.50200000 
  6.50000      -0.37642353  -0.45000000 
  6.75000      -0.33908478  -0.40500000 
  7.00000      -0.30669835  -0.36600000 
  7.25000      -0.27844225  -0.33200000 
  7.50000      -0.25365670  -0.30200000 
  7.75000      -0.23181922  -0.27600000 
  8.00000      -0.21249063  -0.25200000 
  8.25000      -0.19530742  -0.23200000 
  8.50000      -0.17997387  -0.21300000 
  8.75000      -0.16624396  -0.19700000 
  9.00000      -0.15391196  -0.18200000 
  9.25000      -0.14279116  -0.16800000 
  9.50000      -0.13274481  -0.15600000 
  9.75000      -0.12363556  -0.14500000 
  10.00000     -0.11535646  -0.13500000 
