# Run number : 3
# Parameter set number : 1
# Cost function : 0.0624560287
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      2.2011e-01      1.0000e+00      1.0000e-08      4.9842e-01      3.6464e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      0.24304697   -0.77700000 
  2.75000      0.64541202   0.08400000  
  3.00000      0.83482972   0.50100000  
  3.25000      0.90424867   0.68600000  
  3.50000      0.90702697   0.75000000  
  3.75000      0.87402340   0.75100000  
  4.00000      0.82313386   0.72100000  
  4.25000      0.76469720   0.67700000  
  4.50000      0.70455581   0.62700000  
  4.75000      0.64599293   0.57700000  
  5.00000      0.59069808   0.52900000  
  5.25000      0.53944445   0.48400000  
  5.50000      0.49249853   0.44200000  
  5.75000      0.44979779   0.40400000  
  6.00000      0.41114060   0.37000000  
  6.25000      0.37623067   0.33900000  
  6.50000      0.34474891   0.31100000  
  6.75000      0.31636805   0.28600000  
  7.00000      0.29078068   0.26300000  
  7.25000      0.26769285   0.24300000  
  7.50000      0.24683806   0.22400000  
  7.75000      0.22798255   0.20700000  
  8.00000      0.21091534   0.19200000  
  8.25000      0.19543540   0.17800000  
  8.50000      0.18137617   0.16600000  
  8.75000      0.16858629   0.15400000  
  9.00000      0.15693309   0.14400000  
  9.25000      0.14629881   0.13500000  
  9.50000      0.13657856   0.12600000  
  9.75000      0.12768116   0.11800000  
  10.00000     0.11952479   0.11000000  
