# Run number : 3
# Parameter set number : 1
# Cost function : 0.0624560287
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      2.2011e-01      1.0000e+00      1.0000e-08      4.9842e-01      3.6464e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      2.91336574   4.19500000  
  2.75000      2.57060384   3.47000000  
  3.00000      2.24104441   2.88400000  
  3.25000      1.94489064   2.41300000  
  3.50000      1.68697561   2.03400000  
  3.75000      1.46569394   1.72700000  
  4.00000      1.27710903   1.47700000  
  4.25000      1.11672849   1.27200000  
  4.50000      0.98025746   1.10200000  
  4.75000      0.86388850   0.96100000  
  5.00000      0.76436409   0.84200000  
  5.25000      0.67894858   0.74200000  
  5.50000      0.60536042   0.65700000  
  5.75000      0.54171314   0.58500000  
  6.00000      0.48645219   0.52200000  
  6.25000      0.43828017   0.46800000  
  6.50000      0.39613403   0.42200000  
  6.75000      0.35912022   0.38100000  
  7.00000      0.32649651   0.34500000  
  7.25000      0.29765221   0.31400000  
  7.50000      0.27205958   0.28600000  
  7.75000      0.24927799   0.26200000  
  8.00000      0.22894128   0.24000000  
  8.25000      0.21073359   0.22000000  
  8.50000      0.19438580   0.20300000  
  8.75000      0.17967495   0.18700000  
  9.00000      0.16639386   0.17300000  
  9.25000      0.15438242   0.16000000  
  9.50000      0.14348807   0.14900000  
  9.75000      0.13359016   0.13800000  
  10.00000     0.12457412   0.12900000  
