# Run number : 4
# Parameter set number : 1
# Cost function : 0.159787356
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.3293e-01      1.0000e+00      4.4932e-01      4.9568e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      0.49817844   0.18500000  
  2.75000      0.74265605   0.44200000  
  3.00000      0.83748880   0.54900000  
  3.25000      0.85392835   0.57900000  
  3.50000      0.82998961   0.57100000  
  3.75000      0.78637835   0.54400000  
  4.00000      0.73437375   0.51000000  
  4.25000      0.68015422   0.47200000  
  4.50000      0.62700768   0.43500000  
  4.75000      0.57662891   0.40000000  
  5.00000      0.52977065   0.36700000  
  5.25000      0.48669706   0.33600000  
  5.50000      0.44736955   0.30900000  
  5.75000      0.41160930   0.28400000  
  6.00000      0.37916150   0.26100000  
  6.25000      0.34975616   0.24100000  
  6.50000      0.32310750   0.22200000  
  6.75000      0.29893558   0.20500000  
  7.00000      0.27700547   0.19000000  
  7.25000      0.25708224   0.17600000  
  7.50000      0.23895725   0.16400000  
  7.75000      0.22244582   0.15200000  
  8.00000      0.20738490   0.14200000  
  8.25000      0.19361846   0.13200000  
  8.50000      0.18102319   0.12300000  
  8.75000      0.16947752   0.11600000  
  9.00000      0.15887451   0.10800000  
  9.25000      0.14912649   0.10200000  
  9.50000      0.14014874   0.09500000  
  9.75000      0.13187987   0.09000000  
  10.00000     0.12423224   0.08400000  
