# Run number : 4
# Parameter set number : 1
# Cost function : 0.159787356
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.3293e-01      1.0000e+00      4.4932e-01      4.9568e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -8.54443682  -7.45800000 
  2.75000      -6.49279316  -5.48800000 
  3.00000      -5.05781423  -4.17400000 
  3.25000      -4.02520737  -3.26500000 
  3.50000      -3.26312424  -2.61400000 
  3.75000      -2.68797974  -2.13200000 
  4.00000      -2.24517446  -1.76700000 
  4.25000      -1.89815218  -1.48500000 
  4.50000      -1.62192456  -1.26100000 
  4.75000      -1.39888556  -1.08200000 
  5.00000      -1.21654862  -0.93700000 
  5.25000      -1.06581206  -0.81700000 
  5.50000      -0.93990957  -0.71700000 
  5.75000      -0.83381635  -0.63300000 
  6.00000      -0.74366358  -0.56200000 
  6.25000      -0.66647661  -0.50200000 
  6.50000      -0.59997272  -0.45000000 
  6.75000      -0.54227885  -0.40500000 
  7.00000      -0.49197489  -0.36600000 
  7.25000      -0.44786922  -0.33200000 
  7.50000      -0.40901450  -0.30200000 
  7.75000      -0.37463464  -0.27600000 
  8.00000      -0.34408794  -0.25200000 
  8.25000      -0.31684902  -0.23200000 
  8.50000      -0.29246028  -0.21300000 
  8.75000      -0.27056115  -0.19700000 
  9.00000      -0.25084071  -0.18200000 
  9.25000      -0.23301610  -0.16800000 
  9.50000      -0.21687402  -0.15600000 
  9.75000      -0.20219823  -0.14500000 
  10.00000     -0.18884556  -0.13500000 
