# Run number : 4
# Parameter set number : 1
# Cost function : 0.159787356
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.3293e-01      1.0000e+00      4.4932e-01      4.9568e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      1.63250946   -0.77700000 
  2.75000      1.94771394   0.08400000  
  3.00000      2.01706977   0.50100000  
  3.25000      1.96087726   0.68600000  
  3.50000      1.84451122   0.75000000  
  3.75000      1.70344087   0.75100000  
  4.00000      1.55675079   0.72100000  
  4.25000      1.41438070   0.67700000  
  4.50000      1.28112278   0.62700000  
  4.75000      1.15901313   0.57700000  
  5.00000      1.04849005   0.52900000  
  5.25000      0.94917603   0.48400000  
  5.50000      0.86033585   0.44200000  
  5.75000      0.78101110   0.40400000  
  6.00000      0.71026203   0.37000000  
  6.25000      0.64714539   0.33900000  
  6.50000      0.59079509   0.31100000  
  6.75000      0.54042334   0.28600000  
  7.00000      0.49532884   0.26300000  
  7.25000      0.45489328   0.24300000  
  7.50000      0.41856382   0.22400000  
  7.75000      0.38586706   0.20700000  
  8.00000      0.35638341   0.19200000  
  8.25000      0.32973767   0.17800000  
  8.50000      0.30561367   0.16600000  
  8.75000      0.28373324   0.15400000  
  9.00000      0.26383689   0.14400000  
  9.25000      0.24573235   0.13500000  
  9.50000      0.22920339   0.12600000  
  9.75000      0.21410858   0.11800000  
  10.00000     0.20028954   0.11000000  
