# Run number : 4
# Parameter set number : 1
# Cost function : 0.159787356
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.3293e-01      1.0000e+00      4.4932e-01      4.9568e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      5.26817380   4.19500000  
  2.75000      4.41822414   3.47000000  
  3.00000      3.71740039   2.88400000  
  3.25000      3.14330432   2.41300000  
  3.50000      2.67325954   2.03400000  
  3.75000      2.28724170   1.72700000  
  4.00000      1.96881359   1.47700000  
  4.25000      1.70467515   1.27200000  
  4.50000      1.48430341   1.10200000  
  4.75000      1.29933427   0.96100000  
  5.00000      1.14317319   0.84200000  
  5.25000      1.01058267   0.74200000  
  5.50000      0.89738415   0.65700000  
  5.75000      0.80021258   0.58500000  
  6.00000      0.71639135   0.52200000  
  6.25000      0.64373943   0.46800000  
  6.50000      0.58048136   0.42200000  
  6.75000      0.52516139   0.38100000  
  7.00000      0.47659255   0.34500000  
  7.25000      0.43378486   0.31400000  
  7.50000      0.39591663   0.28600000  
  7.75000      0.36229709   0.26200000  
  8.00000      0.33235467   0.24000000  
  8.25000      0.30560725   0.22000000  
  8.50000      0.28163461   0.20300000  
  8.75000      0.26009314   0.18700000  
  9.00000      0.24068127   0.17300000  
  9.25000      0.22314828   0.16000000  
  9.50000      0.20726919   0.14900000  
  9.75000      0.19285580   0.13800000  
  10.00000     0.17974391   0.12900000  
