# Run number : 9
# Parameter set number : 1
# Cost function : 0.00884735266
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.5008e-01      6.7968e-01      5.7670e-01      4.2534e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.28000293  0.18500000  
  2.75000      0.11916421   0.44200000  
  3.00000      0.33132844   0.54900000  
  3.25000      0.43723115   0.57900000  
  3.50000      0.48229526   0.57100000  
  3.75000      0.49262418   0.54400000  
  4.00000      0.48338928   0.51000000  
  4.25000      0.46354377   0.47200000  
  4.50000      0.43841751   0.43500000  
  4.75000      0.41112073   0.40000000  
  5.00000      0.38351304   0.36700000  
  5.25000      0.35663705   0.33600000  
  5.50000      0.33108065   0.30900000  
  5.75000      0.30711386   0.28400000  
  6.00000      0.28483953   0.26100000  
  6.25000      0.26426702   0.24100000  
  6.50000      0.24534021   0.22200000  
  6.75000      0.22795508   0.20500000  
  7.00000      0.21201696   0.19000000  
  7.25000      0.19740429   0.17600000  
  7.50000      0.18401305   0.16400000  
  7.75000      0.17173686   0.15200000  
  8.00000      0.16047697   0.14200000  
  8.25000      0.15013227   0.13200000  
  8.50000      0.14062679   0.12300000  
  8.75000      0.13188163   0.11600000  
  9.00000      0.12382257   0.10800000  
  9.25000      0.11638591   0.10200000  
  9.50000      0.10952606   0.09500000  
  9.75000      0.10318518   0.09000000  
  10.00000     0.09731183   0.08400000  
