# Run number : 9
# Parameter set number : 1
# Cost function : 0.00884735266
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.5008e-01      6.7968e-01      5.7670e-01      4.2534e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -7.03928388  -7.45800000 
  2.75000      -5.31797166  -5.48800000 
  3.00000      -4.11490896  -4.17400000 
  3.25000      -3.25197831  -3.26500000 
  3.50000      -2.61826625  -2.61400000 
  3.75000      -2.14289980  -2.13200000 
  4.00000      -1.77931992  -1.76700000 
  4.25000      -1.49632947  -1.48500000 
  4.50000      -1.27258567  -1.26100000 
  4.75000      -1.09308663  -1.08200000 
  5.00000      -0.94725097  -0.93700000 
  5.25000      -0.82735741  -0.81700000 
  5.50000      -0.72773832  -0.71700000 
  5.75000      -0.64417891  -0.63300000 
  6.00000      -0.57347308  -0.56200000 
  6.25000      -0.51316513  -0.50200000 
  6.50000      -0.46136858  -0.45000000 
  6.75000      -0.41657681  -0.40500000 
  7.00000      -0.37760580  -0.36600000 
  7.25000      -0.34352281  -0.33200000 
  7.50000      -0.31355760  -0.30200000 
  7.75000      -0.28708018  -0.27600000 
  8.00000      -0.26359553  -0.25200000 
  8.25000      -0.24267353  -0.23200000 
  8.50000      -0.22396938  -0.21300000 
  8.75000      -0.20719029  -0.19700000 
  9.00000      -0.19207970  -0.18200000 
  9.25000      -0.17843833  -0.16800000 
  9.50000      -0.16609201  -0.15600000 
  9.75000      -0.15486836  -0.14500000 
  10.00000     -0.14466099  -0.13500000 
