# Run number : 9
# Parameter set number : 1
# Cost function : 0.00884735266
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.5008e-01      6.7968e-01      5.7670e-01      4.2534e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.66126832  -0.77700000 
  2.75000      0.18490837   0.08400000  
  3.00000      0.63532972   0.50100000  
  3.25000      0.85922313   0.68600000  
  3.50000      0.95280640   0.75000000  
  3.75000      0.97186996   0.75100000  
  4.00000      0.94921343   0.72100000  
  4.25000      0.90428257   0.67700000  
  4.50000      0.84856226   0.62700000  
  4.75000      0.78889717   0.57700000  
  5.00000      0.72919702   0.52900000  
  5.25000      0.67167322   0.48400000  
  5.50000      0.61753784   0.44200000  
  5.75000      0.56724791   0.40400000  
  6.00000      0.52099861   0.37000000  
  6.25000      0.47870111   0.33900000  
  6.50000      0.44016607   0.31100000  
  6.75000      0.40513634   0.28600000  
  7.00000      0.37332205   0.26300000  
  7.25000      0.34444852   0.24300000  
  7.50000      0.31823408   0.22400000  
  7.75000      0.29443209   0.20700000  
  8.00000      0.27280179   0.19200000  
  8.25000      0.25311524   0.17800000  
  8.50000      0.23518778   0.16600000  
  8.75000      0.21883823   0.15400000  
  9.00000      0.20389946   0.14400000  
  9.25000      0.19025458   0.13500000  
  9.50000      0.17774346   0.12600000  
  9.75000      0.16628078   0.11800000  
  10.00000     0.15575316   0.11000000  
