# Run number : 9
# Parameter set number : 1
# Cost function : 0.00884735266
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.5008e-01      6.7968e-01      5.7670e-01      4.2534e-01      1.0000e+00      1.0000e+00
# Distance     Computed     Reference
  2.50000      3.99397866   4.19500000  
  2.75000      3.43675928   3.47000000  
  3.00000      2.94908041   2.88400000  
  3.25000      2.53233996   2.41300000  
  3.50000      2.18020991   2.03400000  
  3.75000      1.88393341   1.72700000  
  4.00000      1.63478633   1.47700000  
  4.25000      1.42491183   1.27200000  
  4.50000      1.24757746   1.10200000  
  4.75000      1.09717986   0.96100000  
  5.00000      0.96909166   0.84200000  
  5.25000      0.85953871   0.74200000  
  5.50000      0.76540610   0.65700000  
  5.75000      0.68417499   0.58500000  
  6.00000      0.61378007   0.52200000  
  6.25000      0.55252186   0.46800000  
  6.50000      0.49900013   0.42200000  
  6.75000      0.45204719   0.38100000  
  7.00000      0.41071164   0.34500000  
  7.25000      0.37419750   0.31400000  
  7.50000      0.34182801   0.28600000  
  7.75000      0.31304332   0.26200000  
  8.00000      0.28735952   0.24000000  
  8.25000      0.26439208   0.22000000  
  8.50000      0.24377281   0.20300000  
  8.75000      0.22522529   0.18700000  
  9.00000      0.20849412   0.17300000  
  9.25000      0.19337359   0.16000000  
  9.50000      0.17965800   0.14900000  
  9.75000      0.16720707   0.13800000  
  10.00000     0.15587121   0.12900000  
