# Run number : 11
# Parameter set number : 1
# Cost function : 0.00884734004
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      3.1635e-01      6.7963e-01      4.3005e-02      4.2538e-01      4.6632e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -7.03899635  -7.45800000 
  2.75000      -5.31777296  -5.48800000 
  3.00000      -4.11476403  -4.17400000 
  3.25000      -3.25188714  -3.26500000 
  3.50000      -2.61822066  -2.61400000 
  3.75000      -2.14285889  -2.13200000 
  4.00000      -1.77929654  -1.76700000 
  4.25000      -1.49632246  -1.48500000 
  4.50000      -1.27257632  -1.26100000 
  4.75000      -1.09308663  -1.08200000 
  5.00000      -0.94725097  -0.93700000 
  5.25000      -0.82735858  -0.81700000 
  5.50000      -0.72773832  -0.71700000 
  5.75000      -0.64418709  -0.63300000 
  6.00000      -0.57348126  -0.56200000 
  6.25000      -0.51316981  -0.50200000 
  6.50000      -0.46137443  -0.45000000 
  6.75000      -0.41657915  -0.40500000 
  7.00000      -0.37761164  -0.36600000 
  7.25000      -0.34352632  -0.33200000 
  7.50000      -0.31355994  -0.30200000 
  7.75000      -0.28708544  -0.27600000 
  8.00000      -0.26360137  -0.25200000 
  8.25000      -0.24268405  -0.23200000 
  8.50000      -0.22397231  -0.21300000 
  8.75000      -0.20719205  -0.19700000 
  9.00000      -0.19208555  -0.18200000 
  9.25000      -0.17843950  -0.16800000 
  9.50000      -0.16609377  -0.15600000 
  9.75000      -0.15487771  -0.14500000 
  10.00000     -0.14466684  -0.13500000 
