# Run number : 15
# Parameter set number : 1
# Cost function : 0.0108427266
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      4.4820e-01      4.7158e-01      3.1060e-01      4.0197e-01      5.5158e-01      6.7225e-01
# Distance     Computed     Reference
  2.50000      -0.56540818  -0.77700000 
  2.75000      0.22710768   0.08400000  
  3.00000      0.64663227   0.50100000  
  3.25000      0.85398913   0.68600000  
  3.50000      0.93954256   0.75000000  
  3.75000      0.95533340   0.75100000  
  4.00000      0.93200596   0.72100000  
  4.25000      0.88772029   0.67700000  
  4.50000      0.83325765   0.62700000  
  4.75000      0.77507814   0.57700000  
  5.00000      0.71687174   0.52900000  
  5.25000      0.66077858   0.48400000  
  5.50000      0.60791022   0.44200000  
  5.75000      0.55877742   0.40400000  
  6.00000      0.51353682   0.37000000  
  6.25000      0.47212296   0.33900000  
  6.50000      0.43434765   0.31100000  
  6.75000      0.39997714   0.28600000  
  7.00000      0.36873791   0.26300000  
  7.25000      0.34036230   0.24300000  
  7.50000      0.31458383   0.22400000  
  7.75000      0.29115354   0.20700000  
  8.00000      0.26984816   0.19200000  
  8.25000      0.25045266   0.17800000  
  8.50000      0.23278000   0.16600000  
  8.75000      0.21664552   0.15400000  
  9.00000      0.20190778   0.14400000  
  9.25000      0.18843238   0.13500000  
  9.50000      0.17607671   0.12600000  
  9.75000      0.16475195   0.11800000  
  10.00000     0.15434706   0.11000000  
