# Run number : 18
# Parameter set number : 1
# Cost function : 0.00890454829
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      3.3936e-01      6.6946e-01      7.0986e-02      4.2353e-01      4.8669e-01      9.8646e-01
# Distance     Computed     Reference
  2.50000      -7.04725528  -7.45800000 
  2.75000      -5.32517864  -5.48800000 
  3.00000      -4.12120192  -4.17400000 
  3.25000      -3.25739232  -3.26500000 
  3.50000      -2.62289480  -2.61400000 
  3.75000      -2.14684692  -2.13200000 
  4.00000      -1.78270952  -1.76700000 
  4.25000      -1.49924219  -1.48500000 
  4.50000      -1.27510098  -1.26100000 
  4.75000      -1.09527935  -1.08200000 
  5.00000      -0.94917252  -0.93700000 
  5.25000      -0.82904637  -0.81700000 
  5.50000      -0.72923208  -0.71700000 
  5.75000      -0.64551137  -0.63300000 
  6.00000      -0.57466762  -0.56200000 
  6.25000      -0.51423929  -0.50200000 
  6.50000      -0.46234105  -0.45000000 
  6.75000      -0.41745109  -0.40500000 
  7.00000      -0.37840527  -0.36600000 
  7.25000      -0.34425333  -0.33200000 
  7.50000      -0.31422851  -0.30200000 
  7.75000      -0.28769907  -0.27600000 
  8.00000      -0.26416124  -0.25200000 
  8.25000      -0.24319892  -0.23200000 
  8.50000      -0.22445328  -0.21300000 
  8.75000      -0.20763854  -0.19700000 
  9.00000      -0.19249990  -0.18200000 
  9.25000      -0.17882755  -0.16800000 
  9.50000      -0.16645786  -0.15600000 
  9.75000      -0.15521199  -0.14500000 
  10.00000     -0.14498184  -0.13500000 
