# Run number : 20
# Parameter set number : 1
# Cost function : 0.00884734691
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      3.0213e-01      6.7982e-01      2.8625e-02      4.2531e-01      4.5193e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      3.99290801   4.19500000  
  2.75000      3.43594578   3.47000000  
  3.00000      2.94844457   2.88400000  
  3.25000      2.53183970   2.41300000  
  3.50000      2.17979615   2.03400000  
  3.75000      1.88358743   1.72700000  
  4.00000      1.63449880   1.47700000  
  4.25000      1.42466287   1.27200000  
  4.50000      1.24737291   1.10200000  
  4.75000      1.09700804   0.96100000  
  5.00000      0.96893387   0.84200000  
  5.25000      0.85939729   0.74200000  
  5.50000      0.76528103   0.65700000  
  5.75000      0.68406979   0.58500000  
  6.00000      0.61368773   0.52200000  
  6.25000      0.55243303   0.46800000  
  6.50000      0.49892065   0.42200000  
  6.75000      0.45197472   0.38100000  
  7.00000      0.41064735   0.34500000  
  7.25000      0.37414256   0.31400000  
  7.50000      0.34177775   0.28600000  
  7.75000      0.31299657   0.26200000  
  8.00000      0.28731862   0.24000000  
  8.25000      0.26434767   0.22000000  
  8.50000      0.24373424   0.20300000  
  8.75000      0.22518847   0.18700000  
  9.00000      0.20846198   0.17300000  
  9.25000      0.19334087   0.16000000  
  9.50000      0.17962936   0.14900000  
  9.75000      0.16717902   0.13800000  
  10.00000     0.15584491   0.12900000  
