# Run number : 7
# Parameter set number : 1
# Cost function : 0.0088473095
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.1511e-01      6.7994e-01      5.4167e-01      4.2539e-01      9.6499e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.28003566  0.18500000  
  2.75000      0.11917239   0.44200000  
  3.00000      0.33134364   0.54900000  
  3.25000      0.43725219   0.57900000  
  3.50000      0.48231746   0.57100000  
  3.75000      0.49264872   0.54400000  
  4.00000      0.48340447   0.51000000  
  4.25000      0.46355780   0.47200000  
  4.50000      0.43843621   0.43500000  
  4.75000      0.41113359   0.40000000  
  5.00000      0.38353058   0.36700000  
  5.25000      0.35665224   0.33600000  
  5.50000      0.33108533   0.30900000  
  5.75000      0.30711971   0.28400000  
  6.00000      0.28484772   0.26100000  
  6.25000      0.26427403   0.24100000  
  6.50000      0.24534956   0.22200000  
  6.75000      0.22795742   0.20500000  
  7.00000      0.21202748   0.19000000  
  7.25000      0.19741364   0.17600000  
  7.50000      0.18401772   0.16400000  
  7.75000      0.17174387   0.15200000  
  8.00000      0.16048106   0.14200000  
  8.25000      0.15013636   0.13200000  
  8.50000      0.14062796   0.12300000  
  8.75000      0.13188280   0.11600000  
  9.00000      0.12382140   0.10800000  
  9.25000      0.11639117   0.10200000  
  9.50000      0.10952899   0.09500000  
  9.75000      0.10318810   0.09000000  
  10.00000     0.09731007   0.08400000  
