# Run number : 7
# Parameter set number : 1
# Cost function : 0.0088473095
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      8.1511e-01      6.7994e-01      5.4167e-01      4.2539e-01      9.6499e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -0.65965768  -0.77700000 
  2.75000      0.18602109   0.08400000  
  3.00000      0.63612686   0.50100000  
  3.25000      0.85980754   0.68600000  
  3.50000      0.95323887   0.75000000  
  3.75000      0.97218788   0.75100000  
  4.00000      0.94945888   0.72100000  
  4.25000      0.90447425   0.67700000  
  4.50000      0.84870603   0.62700000  
  4.75000      0.78901639   0.57700000  
  5.00000      0.72928819   0.52900000  
  5.25000      0.67175153   0.48400000  
  5.50000      0.61759161   0.44200000  
  5.75000      0.56729466   0.40400000  
  6.00000      0.52104303   0.37000000  
  6.25000      0.47873852   0.33900000  
  6.50000      0.44019646   0.31100000  
  6.75000      0.40515621   0.28600000  
  7.00000      0.37334425   0.26300000  
  7.25000      0.34446722   0.24300000  
  7.50000      0.31825044   0.22400000  
  7.75000      0.29444846   0.20700000  
  8.00000      0.27281698   0.19200000  
  8.25000      0.25312459   0.17800000  
  8.50000      0.23519830   0.16600000  
  8.75000      0.21884759   0.15400000  
  9.00000      0.20390531   0.14400000  
  9.25000      0.19025809   0.13500000  
  9.50000      0.17774814   0.12600000  
  9.75000      0.16628136   0.11800000  
  10.00000     0.15575491   0.11000000  
