# Run number : 9
# Parameter set number : 1
# Cost function : 0.00908249579
#       ChiC            EtaC            ChiH            EtaH             ChiO            EtaO
#      4.7295e-01      6.4376e-01      2.2387e-01      4.2152e-01      6.1255e-01      9.4012e-01
# Distance     Computed     Reference
  2.50000      0.00165973   -0.35900000 
  2.75000      0.09347340   -0.16900000 
  3.00000      0.11476358   -0.08700000 
  3.25000      0.10401388   -0.05500000 
  3.50000      0.08051345   -0.04700000 
  3.75000      0.05373914   -0.05000000 
  4.00000      0.02813015   -0.05600000 
  4.25000      0.00555894   -0.06200000 
  4.50000      -0.01341930  -0.06800000 
  4.75000      -0.02886885  -0.07300000 
  5.00000      -0.04109127  -0.07600000 
  5.25000      -0.05055643  -0.07800000 
  5.50000      -0.05766990  -0.07900000 
  5.75000      -0.06284196  -0.08000000 
  6.00000      -0.06645013  -0.07900000 
  6.25000      -0.06877025  -0.07800000 
  6.50000      -0.07006531  -0.07700000 
  6.75000      -0.07055388  -0.07500000 
  7.00000      -0.07040544  -0.07300000 
  7.25000      -0.06977077  -0.07000000 
  7.50000      -0.06875155  -0.06800000 
  7.75000      -0.06743896  -0.06600000 
  8.00000      -0.06591831  -0.06400000 
  8.25000      -0.06424455  -0.06100000 
  8.50000      -0.06246326  -0.05900000 
  8.75000      -0.06061476  -0.05700000 
  9.00000      -0.05872711  -0.05400000 
  9.25000      -0.05682426  -0.05200000 
  9.50000      -0.05492959  -0.05000000 
  9.75000      -0.05305362  -0.04800000 
  10.00000     -0.05120688  -0.04600000 
