# Run number : 10
# Parameter set number : 1
# Cost function : 0.296826255
#      ChiH            EtaH            ChiO            EtaO
#      7.4993e-01      5.0393e-01      8.7147e-01      4.9100e-01
# Distance     Computed     Reference
  2.50000      -12.42721215 -12.40300000
  2.75000      -9.64491862  -9.54400000 
  3.00000      -7.64255503  -7.51300000 
  3.25000      -6.16375562  -6.03000000 
  3.50000      -5.04701194  -4.92000000 
  3.75000      -4.18723712  -4.07300000 
  4.00000      -3.51405846  -3.41200000 
  4.25000      -2.97908652  -2.89000000 
  4.50000      -2.54835522  -2.47000000 
  4.75000      -2.19747348  -2.12900000 
  5.00000      -1.90863305  -1.84800000 
  5.25000      -1.66862152  -1.61600000 
  5.50000      -1.46747582  -1.42100000 
  5.75000      -1.29758921  -1.25600000 
  6.00000      -1.15307783  -1.11600000 
  6.25000      -1.02936454  -0.99600000 
  6.50000      -0.92280496  -0.89300000 
  6.75000      -0.83052376  -0.80400000 
  7.00000      -0.75019966  -0.72600000 
  7.25000      -0.67993448  -0.65800000 
  7.50000      -0.61821576  -0.59800000 
  7.75000      -0.56375779  -0.54600000 
  8.00000      -0.51553435  -0.49900000 
  8.25000      -0.47266880  -0.45700000 
  8.50000      -0.43443882  -0.42000000 
  8.75000      -0.40023194  -0.38700000 
  9.00000      -0.36953388  -0.35800000 
  9.25000      -0.34190282  -0.33100000 
  9.50000      -0.31696006  -0.30700000 
  9.75000      -0.29439235  -0.28500000 
  10.00000     -0.27391217  -0.26500000 
