# Run number : 4
# Parameter set number : 1
# Cost function : 0.343201195
#      ChiH            EtaH            ChiO            EtaO
#      3.9028e-01      9.9573e-01      7.7490e-01      6.5751e-01
# Distance     Computed     Reference
  2.50000      -5.29251228  -8.74600000 
  2.75000      -3.84911429  -6.10200000 
  3.00000      -2.86652852  -4.37000000 
  3.25000      -2.17866472  -3.21100000 
  3.50000      -1.68541055  -2.41600000 
  3.75000      -1.32421975  -1.85500000 
  4.00000      -1.05481457  -1.45000000 
  4.25000      -0.85057381  -1.15100000 
  4.50000      -0.69345547  -0.92700000 
  4.75000      -0.57099049  -0.75500000 
  5.00000      -0.47439399  -0.62200000 
  5.25000      -0.39738702  -0.51700000 
  5.50000      -0.33538778  -0.43300000 
  5.75000      -0.28502070  -0.36600000 
  6.00000      -0.24375645  -0.31200000 
  6.25000      -0.20969684  -0.26700000 
  6.50000      -0.18137851  -0.23000000 
  6.75000      -0.15768406  -0.19900000 
  7.00000      -0.13773453  -0.17400000 
  7.25000      -0.12083797  -0.15200000 
  7.50000      -0.10646140  -0.13300000 
  7.75000      -0.09415600  -0.11800000 
  8.00000      -0.08357344  -0.10400000 
  8.25000      -0.07444257  -0.09300000 
  8.50000      -0.06652260  -0.08300000 
  8.75000      -0.05962652  -0.07400000 
  9.00000      -0.05360706  -0.06600000 
  9.25000      -0.04832397  -0.06000000 
  9.50000      -0.04367905  -0.05400000 
  9.75000      -0.03957413  -0.04900000 
  10.00000     -0.03593908  -0.04400000 
