# Run number : 8
# Parameter set number : 1
# Cost function : 0.296635442
#      ChiH            EtaH            ChiO            EtaO
#      7.1156e-01      4.1598e-01      9.2136e-01      6.5648e-01
# Distance     Computed     Reference
  2.50000      -0.72981533  -2.86500000 
  2.75000      -0.55745782  -2.13300000 
  3.00000      -0.43337519  -1.60400000 
  3.25000      -0.34226983  -1.22300000 
  3.50000      -0.27407581  -0.94700000 
  3.75000      -0.22215420  -0.74400000 
  4.00000      -0.18200266  -0.59300000 
  4.25000      -0.15051915  -0.47900000 
  4.50000      -0.12555769  -0.39100000 
  4.75000      -0.10553569  -0.32200000 
  5.00000      -0.08933108  -0.26800000 
  5.25000      -0.07610931  -0.22500000 
  5.50000      -0.06522520  -0.19000000 
  5.75000      -0.05619485  -0.16200000 
  6.00000      -0.04866994  -0.13900000 
  6.25000      -0.04235126  -0.12000000 
  6.50000      -0.03701206  -0.10400000 
  6.75000      -0.03249338  -0.09000000 
  7.00000      -0.02863275  -0.07900000 
  7.25000      -0.02532263  -0.06900000 
  7.50000      -0.02247420  -0.06100000 
  7.75000      -0.02001148  -0.05400000 
  8.00000      -0.01787370  -0.04800000 
  8.25000      -0.01601409  -0.04300000 
  8.50000      -0.01438826  -0.03800000 
  8.75000      -0.01296346  -0.03400000 
  9.00000      -0.01170346  -0.03100000 
  9.25000      -0.01059541  -0.02800000 
  9.50000      -0.00961594  -0.02500000 
  9.75000      -0.00874750  -0.02300000 
  10.00000     -0.00797140  -0.02100000 
