# Run number : 8
# Parameter set number : 1
# Cost function : 0.296635442
#      ChiH            EtaH            ChiO            EtaO
#      7.1156e-01      4.1598e-01      9.2136e-01      6.5648e-01
# Distance     Computed     Reference
  2.50000      7.20118740   5.43700000  
  2.75000      5.96587328   4.64500000  
  3.00000      4.99173112   3.97300000  
  3.25000      4.21474662   3.40900000  
  3.50000      3.58840985   2.93800000  
  3.75000      3.07848821   2.54300000  
  4.00000      2.65954336   2.21300000  
  4.25000      2.31240186   1.93500000  
  4.50000      2.02250481   1.70000000  
  4.75000      1.77865018   1.50000000  
  5.00000      1.57213722   1.33000000  
  5.25000      1.39613999   1.18400000  
  5.50000      1.24527720   1.05800000  
  5.75000      1.11524291   0.94900000  
  6.00000      1.00259140   0.85500000  
  6.25000      0.90453854   0.77200000  
  6.50000      0.81878874   0.70000000  
  6.75000      0.74349060   0.63600000  
  7.00000      0.67711527   0.58000000  
  7.25000      0.61837239   0.53000000  
  7.50000      0.56620999   0.48600000  
  7.75000      0.51973745   0.44600000  
  8.00000      0.47818800   0.41100000  
  8.25000      0.44094217   0.37900000  
  8.50000      0.40745529   0.35000000  
  8.75000      0.37726216   0.32400000  
  9.00000      0.34998175   0.30100000  
  9.25000      0.32525405   0.28000000  
  9.50000      0.30279856   0.26100000  
  9.75000      0.28236045   0.24300000  
  10.00000     0.26371767   0.22700000  
