# Run number : 8
# Parameter set number : 1
# Cost function : 0.296635442
#      ChiH            EtaH            ChiO            EtaO
#      7.1156e-01      4.1598e-01      9.2136e-01      6.5648e-01
# Distance     Computed     Reference
  2.50000      4.19054256   4.74900000  
  2.75000      3.52442127   3.90700000  
  3.00000      2.98340183   3.23900000  
  3.25000      2.54147785   2.70700000  
  3.50000      2.17840524   2.28100000  
  3.75000      1.87839551   1.93700000  
  4.00000      1.62897960   1.65800000  
  4.25000      1.42041418   1.42900000  
  4.50000      1.24498734   1.24000000  
  4.75000      1.09657441   1.08200000  
  5.00000      0.97034114   0.95000000  
  5.25000      0.86238364   0.83800000  
  5.50000      0.76959517   0.74300000  
  5.75000      0.68944406   0.66200000  
  6.00000      0.61990355   0.59200000  
  6.25000      0.55929171   0.53200000  
  6.50000      0.50624685   0.47900000  
  6.75000      0.45963405   0.43300000  
  7.00000      0.41852057   0.39300000  
  7.25000      0.38213617   0.35800000  
  7.50000      0.34981694   0.32700000  
  7.75000      0.32101472   0.29900000  
  8.00000      0.29527833   0.27400000  
  8.25000      0.27219868   0.25200000  
  8.50000      0.25145551   0.23300000  
  8.75000      0.23275428   0.21500000  
  9.00000      0.21585656   0.19900000  
  9.25000      0.20055194   0.18400000  
  9.50000      0.18665226   0.17100000  
  9.75000      0.17400906   0.15900000  
  10.00000     0.16247391   0.14900000  
