# Run number : 3
# Parameter set number : 1
# Cost function : 0.285863224
#      ChiH            EtaH            ChiO            EtaO
#      5.6260e-01      5.4886e-01      7.1826e-01      5.2594e-01
# Distance     Computed     Reference
  2.50000      -4.96082734  -8.74600000 
  2.75000      -3.58958803  -6.10200000 
  3.00000      -2.66304516  -4.37000000 
  3.25000      -2.01816145  -3.21100000 
  3.50000      -1.55780274  -2.41600000 
  3.75000      -1.22188665  -1.85500000 
  4.00000      -0.97202892  -1.45000000 
  4.25000      -0.78300161  -1.15100000 
  4.50000      -0.63784270  -0.92700000 
  4.75000      -0.52486392  -0.75500000 
  5.00000      -0.43584609  -0.62200000 
  5.25000      -0.36493571  -0.51700000 
  5.50000      -0.30788763  -0.43300000 
  5.75000      -0.26157872  -0.36600000 
  6.00000      -0.22365731  -0.31200000 
  6.25000      -0.19237016  -0.26700000 
  6.50000      -0.16636143  -0.23000000 
  6.75000      -0.14460723  -0.19900000 
  7.00000      -0.12629873  -0.17400000 
  7.25000      -0.11080009  -0.15200000 
  7.50000      -0.09760403  -0.13300000 
  7.75000      -0.08632018  -0.11800000 
  8.00000      -0.07661425  -0.10400000 
  8.25000      -0.06823610  -0.09300000 
  8.50000      -0.06097301  -0.08300000 
  8.75000      -0.05464966  -0.07400000 
  9.00000      -0.04913279  -0.06600000 
  9.25000      -0.04429151  -0.06000000 
  9.50000      -0.04002764  -0.05400000 
  9.75000      -0.03626869  -0.04900000 
  10.00000     -0.03293753  -0.04400000 
