# Run number : 8
# Parameter set number : 1
# Cost function : 0.28869656
#      ChiH            EtaH            ChiO            EtaO
#      7.3634e-01      5.3994e-01      9.5912e-01      6.5015e-01
# Distance     Computed     Reference
  2.50000      -0.57264088  -2.86500000 
  2.75000      -0.45310966  -2.13300000 
  3.00000      -0.36261676  -1.60400000 
  3.25000      -0.29313236  -1.22300000 
  3.50000      -0.23912322  -0.94700000 
  3.75000      -0.19668313  -0.74400000 
  4.00000      -0.16302793  -0.59300000 
  4.25000      -0.13608181  -0.47900000 
  4.50000      -0.11436267  -0.39100000 
  4.75000      -0.09669469  -0.32200000 
  5.00000      -0.08224799  -0.26800000 
  5.25000      -0.07034700  -0.22500000 
  5.50000      -0.06047743  -0.19000000 
  5.75000      -0.05224889  -0.16200000 
  6.00000      -0.04535047  -0.13900000 
  6.25000      -0.03953322  -0.12000000 
  6.50000      -0.03460779  -0.10400000 
  6.75000      -0.03041871  -0.09000000 
  7.00000      -0.02683392  -0.07900000 
  7.25000      -0.02375640  -0.06900000 
  7.50000      -0.02109849  -0.06100000 
  7.75000      -0.01879824  -0.05400000 
  8.00000      -0.01680422  -0.04800000 
  8.25000      -0.01506384  -0.04300000 
  8.50000      -0.01354086  -0.03800000 
  8.75000      -0.01220606  -0.03400000 
  9.00000      -0.01102087  -0.03100000 
  9.25000      -0.00998412  -0.02800000 
  9.50000      -0.00906191  -0.02500000 
  9.75000      -0.00824373  -0.02300000 
  10.00000     -0.00751439  -0.02100000 
