# Run number : 1
# Parameter set number : 1
# Cost function : 0.286620576
#      ChiH            EtaH            ChiO            EtaO
#      4.4258e-01      5.0782e-01      6.0639e-01      5.6142e-01
# Distance     Computed     Reference
  2.50000      4.05617659   4.74900000  
  2.75000      3.40729082   3.90700000  
  3.00000      2.87762069   3.23900000  
  3.25000      2.44483926   2.70700000  
  3.50000      2.08995546   2.28100000  
  3.75000      1.79755245   1.93700000  
  4.00000      1.55525469   1.65800000  
  4.25000      1.35328847   1.42900000  
  4.50000      1.18393485   1.24000000  
  4.75000      1.04107385   1.08200000  
  5.00000      0.91987121   0.95000000  
  5.25000      0.81646395   0.83800000  
  5.50000      0.72777339   0.74300000  
  5.75000      0.65131576   0.66200000  
  6.00000      0.58508654   0.59200000  
  6.25000      0.52745170   0.53200000  
  6.50000      0.47708463   0.47900000  
  6.75000      0.43288077   0.43300000  
  7.00000      0.39393430   0.39300000  
  7.25000      0.35950067   0.35800000  
  7.50000      0.32893819   0.32700000  
  7.75000      0.30173025   0.29900000  
  8.00000      0.27743736   0.27400000  
  8.25000      0.25566212   0.25200000  
  8.50000      0.23610882   0.23300000  
  8.75000      0.21848408   0.21500000  
  9.00000      0.20257051   0.19900000  
  9.25000      0.18816472   0.18400000  
  9.50000      0.17508672   0.17100000  
  9.75000      0.16319274   0.15900000  
  10.00000     0.15234720   0.14900000  
