# Run number : 2
# Parameter set number : 1
# Cost function : 0.286508836
#      ChiH            EtaH            ChiO            EtaO
#      7.8539e-01      4.4629e-01      1.0000e+00      6.6575e-01
# Distance     Computed     Reference
  2.50000      -0.67750332  -2.86500000 
  2.75000      -0.52024472  -2.13300000 
  3.00000      -0.40649919  -1.60400000 
  3.25000      -0.32249328  -1.22300000 
  3.50000      -0.25922704  -0.94700000 
  3.75000      -0.21078385  -0.74400000 
  4.00000      -0.17314062  -0.59300000 
  4.25000      -0.14350619  -0.47900000 
  4.50000      -0.11990992  -0.39100000 
  4.75000      -0.10094220  -0.32200000 
  5.00000      -0.08554642  -0.26800000 
  5.25000      -0.07295816  -0.22500000 
  5.50000      -0.06257196  -0.19000000 
  5.75000      -0.05394602  -0.16200000 
  6.00000      -0.04674839  -0.13900000 
  6.25000      -0.04069854  -0.12000000 
  6.50000      -0.03559077  -0.10400000 
  6.75000      -0.03124741  -0.09000000 
  7.00000      -0.02754340  -0.07900000 
  7.25000      -0.02436770  -0.06900000 
  7.50000      -0.02162797  -0.06100000 
  7.75000      -0.01925992  -0.05400000 
  8.00000      -0.01721097  -0.04800000 
  8.25000      -0.01542150  -0.04300000 
  8.50000      -0.01385761  -0.03800000 
  8.75000      -0.01248657  -0.03400000 
  9.00000      -0.01127216  -0.03100000 
  9.25000      -0.01020736  -0.02800000 
  9.50000      -0.00926529  -0.02500000 
  9.75000      -0.00842490  -0.02300000 
  10.00000     -0.00768270  -0.02100000 
