# Run number : 2
# Parameter set number : 1
# Cost function : 0.286508836
#      ChiH            EtaH            ChiO            EtaO
#      7.8539e-01      4.4629e-01      1.0000e+00      6.6575e-01
# Distance     Computed     Reference
  2.50000      -5.02249463  -8.74600000 
  2.75000      -3.63108138  -6.10200000 
  3.00000      -2.69195258  -4.37000000 
  3.25000      -2.03892916  -3.21100000 
  3.50000      -1.57314242  -2.41600000 
  3.75000      -1.23348141  -1.85500000 
  4.00000      -0.98096811  -1.45000000 
  4.25000      -0.79002392  -1.15100000 
  4.50000      -0.64344839  -0.92700000 
  4.75000      -0.52939429  -0.75500000 
  5.00000      -0.43954893  -0.62200000 
  5.25000      -0.36800739  -0.51700000 
  5.50000      -0.31046372  -0.43300000 
  5.75000      -0.26373871  -0.36600000 
  6.00000      -0.22549470  -0.31200000 
  6.25000      -0.19393638  -0.26700000 
  6.50000      -0.16771259  -0.23000000 
  6.75000      -0.14577839  -0.19900000 
  7.00000      -0.12731561  -0.17400000 
  7.25000      -0.11168138  -0.15200000 
  7.50000      -0.09838715  -0.13300000 
  7.75000      -0.08700745  -0.11800000 
  8.00000      -0.07722204  -0.10400000 
  8.25000      -0.06877609  -0.09300000 
  8.50000      -0.06145690  -0.08300000 
  8.75000      -0.05508212  -0.07400000 
  9.00000      -0.04952318  -0.06600000 
  9.25000      -0.04463983  -0.06000000 
  9.50000      -0.04034322  -0.05400000 
  9.75000      -0.03655155  -0.04900000 
  10.00000     -0.03319701  -0.04400000 
