# Run number : 2
# Parameter set number : 1
# Cost function : 0.286508836
#      ChiH            EtaH            ChiO            EtaO
#      7.8539e-01      4.4629e-01      1.0000e+00      6.6575e-01
# Distance     Computed     Reference
  2.50000      6.91291269   5.43700000  
  2.75000      5.73305705   4.64500000  
  3.00000      4.80061862   3.97300000  
  3.25000      4.05569738   3.40900000  
  3.50000      3.45445298   2.93800000  
  3.75000      2.96450892   2.54300000  
  4.00000      2.56168920   2.21300000  
  4.25000      2.22773206   1.93500000  
  4.50000      1.94872848   1.70000000  
  4.75000      1.71395797   1.50000000  
  5.00000      1.51508914   1.33000000  
  5.25000      1.34556720   1.18400000  
  5.50000      1.20023063   1.05800000  
  5.75000      1.07495112   0.94900000  
  6.00000      0.96640219   0.85500000  
  6.25000      0.87190958   0.77200000  
  6.50000      0.78927120   0.70000000  
  6.75000      0.71670577   0.63600000  
  7.00000      0.65272887   0.58000000  
  7.25000      0.59611325   0.53000000  
  7.50000      0.54583267   0.48600000  
  7.75000      0.50103388   0.44600000  
  8.00000      0.46098521   0.41100000  
  8.25000      0.42508119   0.37900000  
  8.50000      0.39280054   0.35000000  
  8.75000      0.36369676   0.32400000  
  9.00000      0.33739582   0.30100000  
  9.25000      0.31356111   0.28000000  
  9.50000      0.29191210   0.26100000  
  9.75000      0.27221036   0.24300000  
  10.00000     0.25423615   0.22700000  
