# Run number : 2
# Parameter set number : 1
# Cost function : 0.286508836
#      ChiH            EtaH            ChiO            EtaO
#      7.8539e-01      4.4629e-01      1.0000e+00      6.6575e-01
# Distance     Computed     Reference
  2.50000      -12.82361268 -12.40300000
  2.75000      -10.00460864 -9.54400000 
  3.00000      -7.96307533  -7.51300000 
  3.25000      -6.44665841  -6.03000000 
  3.50000      -5.29564006  -4.92000000 
  3.75000      -4.40545705  -4.07300000 
  4.00000      -3.70569926  -3.41200000 
  4.25000      -3.14769210  -2.89000000 
  4.50000      -2.69706737  -2.47000000 
  4.75000      -2.32901790  -2.12900000 
  5.00000      -2.02535675  -1.84800000 
  5.25000      -1.77253021  -1.61600000 
  5.50000      -1.56028065  -1.42100000 
  5.75000      -1.38073486  -1.25600000 
  6.00000      -1.22781494  -1.11600000 
  6.25000      -1.09674038  -0.99600000 
  6.50000      -0.98372654  -0.89300000 
  6.75000      -0.88577186  -0.80400000 
  7.00000      -0.80043349  -0.72600000 
  7.25000      -0.72573145  -0.65800000 
  7.50000      -0.66006677  -0.59800000 
  7.75000      -0.60209998  -0.54600000 
  8.00000      -0.55073940  -0.49900000 
  8.25000      -0.50507101  -0.45700000 
  8.50000      -0.46431403  -0.42000000 
  8.75000      -0.42783495  -0.38700000 
  9.00000      -0.39508910  -0.35800000 
  9.25000      -0.36560195  -0.33100000 
  9.50000      -0.33898075  -0.30700000 
  9.75000      -0.31488656  -0.28500000 
  10.00000     -0.29301548  -0.26500000 
