# Run number : 2
# Parameter set number : 1
# Cost function : 0.286508836
#      ChiH            EtaH            ChiO            EtaO
#      7.8539e-01      4.4629e-01      1.0000e+00      6.6575e-01
# Distance     Computed     Reference
  2.50000      4.10157382   4.74900000  
  2.75000      3.44699820   3.90700000  
  3.00000      2.91460470   3.23900000  
  3.25000      2.47986198   2.70700000  
  3.50000      2.12307065   2.28100000  
  3.75000      1.82865258   1.93700000  
  4.00000      1.58424393   1.65800000  
  4.25000      1.38017148   1.42900000  
  4.50000      1.20874670   1.24000000  
  4.75000      1.06390571   1.08200000  
  5.00000      0.94084229   0.95000000  
  5.25000      0.83570166   0.83800000  
  5.50000      0.74541682   0.74300000  
  5.75000      0.66750050   0.66200000  
  6.00000      0.59993882   0.59200000  
  6.25000      0.54109658   0.53200000  
  6.50000      0.48962730   0.47900000  
  6.75000      0.44442995   0.43300000  
  7.00000      0.40457530   0.39300000  
  7.25000      0.36932466   0.35800000  
  7.50000      0.33801764   0.32700000  
  7.75000      0.31013528   0.29900000  
  8.00000      0.28522291   0.27400000  
  8.25000      0.26289131   0.25200000  
  8.50000      0.24282723   0.23300000  
  8.75000      0.22473847   0.21500000  
  9.00000      0.20840061   0.19900000  
  9.25000      0.19360794   0.18400000  
  9.50000      0.18017462   0.17100000  
  9.75000      0.16795337   0.15900000  
  10.00000     0.15680861   0.14900000  
